Name,Type,x_miles,y_miles
Durant,Hospital,3.0,3.0
Talihina,Hospital,95.25376247399664,62.91029385165298
Idabel,Clinic,105.53248214603616,-14.409483190858126
Broken Bow,Clinic,109.85966630166351,-2.478295163380409
Hugo,Clinic,59.40212244817725,-5.23411096238193
Atoka,Clinic,28.334207875759972,31.322745476167754
McAlester,Clinic,45.68652476464811,69.47451093101085
Poteau,Clinic,131.55354951866485,70.07447283543995
Stigler,Clinic,86.23142680947691,108.01680623242493
Hub_1,CandidateHub,0.0,-20.0
Hub_2,CandidateHub,20.0,-20.0
Hub_3,CandidateHub,40.0,-20.0
Hub_4,CandidateHub,60.0,-20.0
Hub_5,CandidateHub,80.0,-20.0
Hub_6,CandidateHub,100.0,-20.0
Hub_7,CandidateHub,120.0,-20.0
Hub_8,CandidateHub,0.0,0.0
Hub_9,CandidateHub,20.0,0.0
Hub_10,CandidateHub,40.0,0.0
Hub_11,CandidateHub,60.0,0.0
Hub_12,CandidateHub,80.0,0.0
Hub_13,CandidateHub,100.0,0.0
Hub_14,CandidateHub,120.0,0.0
Hub_15,CandidateHub,0.0,20.0
Hub_16,CandidateHub,20.0,20.0
Hub_17,CandidateHub,40.0,20.0
Hub_18,CandidateHub,60.0,20.0
Hub_19,CandidateHub,80.0,20.0
Hub_20,CandidateHub,100.0,20.0
Hub_21,CandidateHub,120.0,20.0
Hub_22,CandidateHub,0.0,40.0
Hub_23,CandidateHub,20.0,40.0
Hub_24,CandidateHub,40.0,40.0
Hub_25,CandidateHub,60.0,40.0
Hub_26,CandidateHub,80.0,40.0
Hub_27,CandidateHub,100.0,40.0
Hub_28,CandidateHub,120.0,40.0
Hub_29,CandidateHub,0.0,60.0
Hub_30,CandidateHub,20.0,60.0
Hub_31,CandidateHub,40.0,60.0
Hub_32,CandidateHub,60.0,60.0
Hub_33,CandidateHub,80.0,60.0
Hub_34,CandidateHub,100.0,60.0
Hub_35,CandidateHub,120.0,60.0
Hub_36,CandidateHub,0.0,80.0
Hub_37,CandidateHub,20.0,80.0
Hub_38,CandidateHub,40.0,80.0
Hub_39,CandidateHub,60.0,80.0
Hub_40,CandidateHub,80.0,80.0
Hub_41,CandidateHub,100.0,80.0
Hub_42,CandidateHub,120.0,80.0
Hub_43,CandidateHub,0.0,100.0
Hub_44,CandidateHub,20.0,100.0
Hub_45,CandidateHub,40.0,100.0
Hub_46,CandidateHub,60.0,100.0
Hub_47,CandidateHub,80.0,100.0
Hub_48,CandidateHub,100.0,100.0
Hub_49,CandidateHub,120.0,100.0
