direction_bin,calm,0-2.5,2.5-5,5-7.5,7.5-10,10-12.5,12.5-15,Total
calm,4.94,0.0,0.0,0.0,0.0,0.0,0.0,4.94
NNE,0.0,5.5,1.25,0.09,0.0,0.0,0.0,6.84
NE,0.0,7.18,0.57,0.02,0.0,0.0,0.0,7.77
ENE,0.0,5.73,0.39,0.0,0.0,0.0,0.0,6.12
E,0.0,6.99,0.79,0.0,0.0,0.0,0.0,7.78
ESE,0.0,6.79,1.81,0.01,0.0,0.0,0.0,8.61
SE,0.0,6.81,2.12,0.02,0.0,0.0,0.0,8.95
SSE,0.0,5.91,4.68,0.31,0.0,0.0,0.0,10.9
S,0.0,3.63,3.88,0.38,0.0,0.0,0.0,7.89
SSW,0.0,1.86,1.43,0.11,0.0,0.0,0.0,3.4
SW,0.0,1.55,0.69,0.07,0.01,0.0,0.0,2.32
WSW,0.0,1.35,0.38,0.04,0.0,0.0,0.0,1.77
W,0.0,1.32,0.19,0.01,0.0,0.0,0.0,1.52
WNW,0.0,1.72,0.42,0.03,0.0,0.0,0.0,2.17
NW,0.0,2.95,1.76,0.27,0.01,0.0,0.0,4.99
NNW,0.0,3.14,2.85,0.62,0.03,0.0,0.0,6.640000000000001
N,0.0,4.61,2.4,0.35,0.01,0.0,0.0,7.369999999999999
Total,4.94,67.04,25.61,2.33,0.060000000000000005,0.0,0.0,99.97999999999999
