direction_bin,0-0.1,0.1-0.2,0.2-0.4,0.4-0.6,0.6-1,1-1.5,1.5-2,>2,Total
calm,4.05,0.89,0.0,0.0,0.0,0.0,0.0,0.0,4.9399999999999995
NNE,0.03,1.31,2.65,0.99,1.19,0.58,0.09,0.01,6.85
NE,0.01,1.02,4.26,1.37,0.85,0.23,0.02,0.0,7.76
ENE,0.0,0.52,2.76,1.62,1.03,0.18,0.01,0.0,6.12
E,0.0,0.28,2.35,2.41,2.26,0.45,0.02,0.0,7.77
ESE,0.0,0.17,1.59,2.04,3.47,1.23,0.1,0.0,8.6
SE,0.0,0.27,1.68,2.02,3.45,1.4,0.13,0.01,8.96
SSE,0.01,0.39,1.58,1.89,4.12,2.47,0.41,0.03,10.9
S,0.01,0.22,0.95,1.13,2.91,2.19,0.45,0.04,7.9
SSW,0.0,0.17,0.48,0.45,1.28,0.85,0.16,0.02,3.41
SW,0.01,0.17,0.48,0.36,0.77,0.41,0.09,0.02,2.31
WSW,0.0,0.15,0.44,0.3,0.54,0.26,0.07,0.02,1.78
W,0.0,0.11,0.43,0.3,0.43,0.19,0.04,0.01,1.51
WNW,0.0,0.1,0.55,0.45,0.61,0.32,0.11,0.03,2.1699999999999995
NW,0.0,0.17,0.99,0.94,1.43,1.03,0.34,0.07,4.97
NNW,0.01,0.41,1.16,0.86,1.77,1.74,0.58,0.09,6.62
N,0.03,1.08,1.8,0.96,1.77,1.34,0.33,0.04,7.3500000000000005
Total,4.159999999999999,7.43,24.150000000000002,18.090000000000003,27.88,14.870000000000001,2.95,0.39,99.91999999999999
