direction_bin,calm,0-2.5,2.5-5,5-7.5,7.5-10,10-12.5,Total
calm,13.39,0.0,0.0,0.0,0.0,0.0,13.39
NNE,0.0,3.56,0.37,0.01,0.0,0.0,3.94
NE,0.0,4.68,0.43,0.01,0.0,0.0,5.12
ENE,0.0,5.9,0.62,0.01,0.0,0.0,6.53
E,0.0,7.35,1.79,0.02,0.0,0.0,9.16
ESE,0.0,6.24,2.13,0.04,0.0,0.0,8.41
SE,0.0,5.07,1.64,0.02,0.0,0.0,6.73
SSE,0.0,3.35,1.27,0.03,0.0,0.0,4.65
S,0.0,2.98,1.45,0.05,0.0,0.0,4.48
SSW,0.0,2.38,1.2,0.05,0.0,0.0,3.63
SW,0.0,2.23,0.57,0.02,0.0,0.0,2.82
WSW,0.0,2.13,0.45,0.03,0.0,0.0,2.61
W,0.0,3.83,0.91,0.1,0.01,0.0,4.85
WNW,0.0,4.06,0.81,0.09,0.0,0.0,4.96
NW,0.0,5.58,1.21,0.1,0.0,0.0,6.89
NNW,0.0,5.73,1.09,0.06,0.0,0.0,6.88
N,0.0,4.37,0.59,0.02,0.0,0.0,4.98
Total,13.39,69.44,16.53,0.66,0.01,0.0,100.03
