direction_bin,0-0.1,0.1-0.2,0.2-0.4,0.4-0.6,0.6-1,1-1.5,1.5-2,>2,Total
calm,11.3,2.08,0.01,0.0,0.0,0.0,0.0,0.0,13.39
NNE,0.01,0.68,1.71,0.62,0.67,0.23,0.02,0.0,3.94
NE,0.0,0.52,2.44,1.06,0.85,0.21,0.02,0.0,5.099999999999999
ENE,0.0,0.34,2.51,1.86,1.49,0.3,0.02,0.0,6.52
E,0.0,0.3,2.44,2.63,3.07,0.68,0.04,0.0,9.159999999999998
ESE,0.0,0.27,2.01,2.37,3.05,0.67,0.04,0.0,8.41
SE,0.0,0.22,1.44,1.82,2.63,0.6,0.04,0.0,6.749999999999999
SSE,0.0,0.14,0.87,1.11,1.83,0.63,0.06,0.0,4.64
S,0.0,0.14,0.84,0.94,1.69,0.75,0.1,0.01,4.469999999999999
SSW,0.0,0.13,0.59,0.66,1.43,0.7,0.11,0.01,3.6299999999999994
SW,0.0,0.14,0.54,0.55,1.11,0.42,0.06,0.01,2.8299999999999996
WSW,0.0,0.24,0.64,0.5,0.87,0.3,0.05,0.01,2.6099999999999994
W,0.02,0.76,1.48,0.78,1.14,0.52,0.12,0.03,4.85
WNW,0.02,1.01,1.67,0.69,0.9,0.48,0.14,0.03,4.9399999999999995
NW,0.03,1.67,2.42,0.62,1.04,0.83,0.23,0.04,6.880000000000001
NNW,0.04,1.79,2.48,0.62,1.05,0.73,0.15,0.02,6.880000000000001
N,0.02,1.02,1.93,0.69,0.86,0.39,0.06,0.01,4.979999999999999
Total,11.44,11.45,26.019999999999996,17.520000000000003,23.68,8.440000000000001,1.2600000000000002,0.17,99.98
