direction_bin,calm,0-2.5,2.5-5,5-7.5,7.5-10,10-12.5,12.5-15,>15,Total
calm,4.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.41
NNE,0.0,2.9,3.15,1.09,0.15,0.02,0.0,0.0,7.31
NE,0.0,3.12,1.8,0.26,0.02,0.0,0.0,0.0,5.199999999999999
ENE,0.0,2.78,0.83,0.06,0.0,0.0,0.0,0.0,3.67
E,0.0,3.73,0.82,0.05,0.0,0.0,0.0,0.0,4.6
ESE,0.0,4.23,0.44,0.01,0.0,0.0,0.0,0.0,4.680000000000001
SE,0.0,5.79,1.76,0.06,0.0,0.0,0.0,0.0,7.609999999999999
SSE,0.0,7.8,8.09,1.24,0.04,0.0,0.0,0.0,17.169999999999998
S,0.0,4.03,7.31,3.4,0.42,0.01,0.0,0.0,15.17
SSW,0.0,2.01,2.79,1.2,0.17,0.01,0.0,0.0,6.18
SW,0.0,1.4,0.76,0.18,0.02,0.0,0.0,0.0,2.3600000000000003
WSW,0.0,0.96,0.33,0.09,0.02,0.0,0.0,0.0,1.4000000000000001
W,0.0,0.96,0.28,0.05,0.01,0.0,0.0,0.0,1.3
WNW,0.0,1.43,0.67,0.22,0.05,0.0,0.0,0.0,2.37
NW,0.0,1.57,1.35,0.58,0.15,0.01,0.0,0.0,3.6599999999999997
NNW,0.0,2.0,2.13,1.01,0.18,0.01,0.0,0.0,5.329999999999999
N,0.0,2.5,3.25,1.54,0.23,0.01,0.0,0.0,7.53
Total,4.41,47.21,35.76,11.04,1.46,0.06999999999999999,0.0,0.0,99.94999999999999
