direction_bin,0-0.1,0.1-0.2,0.2-0.4,0.4-0.6,0.6-1,1-1.5,1.5-2,>2,Total
calm,3.65,0.76,0.0,0.0,0.0,0.0,0.0,0.0,4.41
NNE,0.02,0.71,1.54,1.24,2.4,1.2,0.18,0.02,7.31
NE,0.04,0.71,1.29,1.02,1.51,0.56,0.06,0.01,5.2
ENE,0.03,0.63,1.13,0.8,0.83,0.22,0.02,0.0,3.66
E,0.03,0.83,1.69,0.89,0.89,0.24,0.02,0.0,4.59
ESE,0.0,0.38,1.99,0.99,0.97,0.32,0.03,0.0,4.680000000000001
SE,0.0,0.23,1.56,1.69,2.76,1.21,0.15,0.01,7.61
SSE,0.0,0.26,1.9,3.19,6.92,4.15,0.69,0.05,17.160000000000004
S,0.01,0.41,1.85,2.25,5.29,4.31,0.94,0.1,15.159999999999997
SSW,0.01,0.36,0.86,0.83,2.26,1.53,0.28,0.03,6.160000000000001
SW,0.01,0.3,0.55,0.37,0.69,0.35,0.07,0.02,2.36
WSW,0.0,0.18,0.36,0.23,0.34,0.19,0.07,0.03,1.4000000000000001
W,0.0,0.15,0.39,0.22,0.3,0.16,0.05,0.02,1.29
WNW,0.0,0.27,0.66,0.4,0.54,0.34,0.11,0.03,2.3499999999999996
NW,0.0,0.28,0.82,0.62,1.0,0.7,0.21,0.05,3.6799999999999997
NNW,0.0,0.24,1.02,0.86,1.57,1.25,0.33,0.06,5.33
N,0.0,0.32,1.27,1.22,2.4,1.83,0.45,0.06,7.55
Total,3.7999999999999994,7.02,18.88,16.82,30.669999999999998,18.560000000000002,3.66,0.49000000000000005,99.89999999999999
