direction_bin,calm,0-2.5,2.5-5,5-7.5,7.5-10,10-12.5,12.5-15,Total
calm,2.04,0.0,0.0,0.0,0.0,0.0,0.0,2.04
NNE,0.0,2.63,1.02,0.05,0.0,0.0,0.0,3.6999999999999997
NE,0.0,2.37,0.77,0.05,0.0,0.0,0.0,3.19
ENE,0.0,3.59,0.6,0.04,0.0,0.0,0.0,4.2299999999999995
E,0.0,7.19,0.93,0.07,0.01,0.0,0.0,8.200000000000001
ESE,0.0,8.96,1.87,0.1,0.0,0.0,0.0,10.930000000000001
SE,0.0,8.97,3.14,0.15,0.0,0.0,0.0,12.260000000000002
SSE,0.0,7.6,5.34,0.31,0.0,0.0,0.0,13.25
S,0.0,5.16,4.23,0.25,0.0,0.0,0.0,9.64
SSW,0.0,2.32,1.57,0.05,0.0,0.0,0.0,3.9399999999999995
SW,0.0,1.35,0.67,0.03,0.0,0.0,0.0,2.05
WSW,0.0,1.62,0.41,0.06,0.01,0.0,0.0,2.1
W,0.0,2.69,0.65,0.09,0.02,0.0,0.0,3.4499999999999997
WNW,0.0,2.41,1.34,0.35,0.05,0.0,0.0,4.1499999999999995
NW,0.0,2.72,2.45,0.43,0.03,0.0,0.0,5.63
NNW,0.0,2.79,2.14,0.19,0.0,0.0,0.0,5.12
N,0.0,3.61,2.32,0.19,0.0,0.0,0.0,6.12
Total,2.04,65.98,29.45,2.4099999999999997,0.12,0.0,0.0,100.00000000000001
