direction_bin,0-0.1,0.1-0.2,0.2-0.4,0.4-0.6,0.6-1,1-1.5,1.5-2,>2,Total
calm,1.45,0.59,0.0,0.0,0.0,0.0,0.0,0.0,2.04
NNE,0.0,0.21,1.08,0.78,1.05,0.5,0.06,0.01,3.69
NE,0.0,0.3,1.16,0.67,0.75,0.28,0.04,0.0,3.2
ENE,0.02,1.0,1.8,0.64,0.57,0.18,0.02,0.0,4.2299999999999995
E,0.06,2.39,3.48,1.13,0.92,0.2,0.02,0.0,8.2
ESE,0.02,1.52,4.62,2.11,2.07,0.55,0.05,0.0,10.940000000000001
SE,0.0,0.53,3.42,2.5,3.51,1.88,0.36,0.05,12.25
SSE,0.0,0.16,1.63,2.01,4.46,3.72,1.09,0.19,13.26
S,0.0,0.09,0.96,1.29,3.27,2.97,0.88,0.17,9.63
SSW,0.0,0.07,0.53,0.58,1.4,1.1,0.22,0.03,3.93
SW,0.0,0.07,0.41,0.36,0.72,0.42,0.07,0.01,2.0599999999999996
WSW,0.0,0.07,0.5,0.69,0.58,0.19,0.05,0.01,2.0899999999999994
W,0.0,0.11,0.92,1.21,0.88,0.24,0.07,0.02,3.45
WNW,0.0,0.11,0.86,1.04,1.27,0.63,0.2,0.04,4.1499999999999995
NW,0.0,0.1,0.81,0.94,1.95,1.36,0.4,0.06,5.62
NNW,0.0,0.12,0.89,0.7,1.47,1.41,0.46,0.07,5.12
N,0.0,0.2,1.33,1.01,1.79,1.38,0.37,0.05,6.13
Total,1.55,7.64,24.4,17.66,26.66,17.01,4.36,0.7100000000000001,99.99
