direction_bin,calm,0-2.5,2.5-5,5-7.5,7.5-10,10-12.5,12.5-15,Total
calm,2.3,0.0,0.0,0.0,0.0,0.0,0.0,2.3
NNE,0.0,4.69,2.18,0.2,0.01,0.0,0.0,7.080000000000001
NE,0.0,4.95,1.21,0.08,0.0,0.0,0.0,6.24
ENE,0.0,8.09,1.38,0.03,0.0,0.0,0.0,9.499999999999998
E,0.0,9.19,1.84,0.03,0.0,0.0,0.0,11.059999999999999
ESE,0.0,7.01,2.93,0.05,0.0,0.0,0.0,9.99
SE,0.0,5.38,3.06,0.07,0.0,0.0,0.0,8.51
SSE,0.0,3.63,2.16,0.06,0.0,0.0,0.0,5.85
S,0.0,2.94,2.35,0.15,0.0,0.0,0.0,5.44
SSW,0.0,2.18,1.99,0.17,0.0,0.0,0.0,4.34
SW,0.0,1.8,1.65,0.2,0.02,0.0,0.0,3.6700000000000004
WSW,0.0,1.62,1.17,0.2,0.05,0.0,0.0,3.04
W,0.0,1.73,0.78,0.12,0.02,0.0,0.0,2.65
WNW,0.0,1.73,0.68,0.12,0.01,0.0,0.0,2.54
NW,0.0,2.62,0.91,0.11,0.0,0.0,0.0,3.64
NNW,0.0,4.24,1.61,0.23,0.01,0.0,0.0,6.090000000000001
N,0.0,5.44,2.32,0.28,0.01,0.0,0.0,8.049999999999999
Total,2.3,67.24000000000001,28.22,2.1,0.13,0.0,0.0,99.99
