direction_bin,0-0.1,0.1-0.2,0.2-0.4,0.4-0.6,0.6-1,1-1.5,1.5-2,>2,Total
calm,1.76,0.54,0.0,0.0,0.0,0.0,0.0,0.0,2.3
NNE,0.03,1.05,1.86,1.27,1.83,0.88,0.14,0.02,7.08
NE,0.02,1.21,2.48,1.13,1.05,0.33,0.04,0.0,6.26
ENE,0.01,0.8,4.42,2.39,1.58,0.28,0.02,0.0,9.5
E,0.0,0.36,3.6,3.54,2.87,0.65,0.04,0.0,11.06
ESE,0.0,0.15,1.88,2.81,3.75,1.29,0.09,0.0,9.969999999999999
SE,0.0,0.12,1.34,1.98,3.47,1.45,0.14,0.01,8.51
SSE,0.0,0.09,0.76,1.04,2.31,1.42,0.21,0.01,5.84
S,0.0,0.08,0.54,0.76,2.1,1.6,0.33,0.03,5.44
SSW,0.0,0.07,0.48,0.63,1.73,1.19,0.22,0.02,4.339999999999999
SW,0.0,0.13,0.52,0.6,1.5,0.79,0.12,0.02,3.68
WSW,0.0,0.23,0.74,0.57,0.96,0.44,0.08,0.02,3.04
W,0.0,0.16,0.71,0.57,0.74,0.35,0.09,0.02,2.6399999999999997
WNW,0.0,0.2,0.6,0.43,0.65,0.45,0.15,0.04,2.52
NW,0.02,0.51,0.82,0.53,0.84,0.66,0.22,0.05,3.6500000000000004
NNW,0.06,1.37,1.26,0.65,1.22,1.09,0.37,0.07,6.090000000000001
N,0.06,1.59,1.88,0.98,1.82,1.32,0.35,0.06,8.06
Total,1.9600000000000002,8.66,23.889999999999997,19.88,28.42,14.19,2.61,0.37000000000000005,99.97999999999999
