direction_bin,calm,0-2.5,2.5-5,5-7.5,7.5-10,10-12.5,12.5-15,>15,Total
calm,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47
NNE,0.0,2.81,2.7,0.54,0.06,0.01,0.0,0.0,6.119999999999999
NE,0.0,2.71,1.41,0.12,0.01,0.0,0.0,0.0,4.25
ENE,0.0,2.53,1.34,0.09,0.01,0.0,0.0,0.0,3.9699999999999998
E,0.0,3.59,2.72,0.3,0.02,0.0,0.0,0.0,6.63
ESE,0.0,4.42,4.37,0.63,0.03,0.0,0.0,0.0,9.45
SE,0.0,5.18,4.97,0.89,0.05,0.0,0.0,0.0,11.09
SSE,0.0,4.36,6.75,1.97,0.14,0.0,0.0,0.0,13.22
S,0.0,3.03,4.98,2.66,0.35,0.01,0.0,0.0,11.03
SSW,0.0,1.61,2.4,1.18,0.18,0.01,0.0,0.0,5.379999999999999
SW,0.0,1.1,1.1,0.49,0.12,0.02,0.0,0.0,2.8300000000000005
WSW,0.0,0.95,0.66,0.29,0.1,0.02,0.01,0.0,2.03
W,0.0,1.07,0.89,0.32,0.09,0.03,0.0,0.0,2.3999999999999995
WNW,0.0,1.15,1.1,0.37,0.14,0.04,0.0,0.0,2.8000000000000003
NW,0.0,1.27,1.55,0.79,0.31,0.07,0.01,0.0,4.0
NNW,0.0,1.61,2.21,1.33,0.3,0.03,0.0,0.0,5.48
N,0.0,2.53,3.97,1.94,0.41,0.04,0.0,0.0,8.889999999999999
Total,0.47,39.92,43.120000000000005,13.91,2.3200000000000003,0.28,0.02,0.0,100.04
