direction_bin,0-0.1,0.1-0.2,0.2-0.4,0.4-0.6,0.6-1,1-1.5,1.5-2,>2,Total
calm,0.38,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.46
NNE,0.01,0.26,1.22,1.28,2.05,1.1,0.17,0.02,6.109999999999999
NE,0.02,0.43,1.36,0.97,1.12,0.32,0.03,0.0,4.250000000000001
ENE,0.03,0.52,1.35,0.89,0.95,0.2,0.02,0.0,3.9600000000000004
E,0.04,0.66,2.08,1.62,1.79,0.4,0.03,0.0,6.620000000000001
ESE,0.03,0.67,2.71,2.44,2.86,0.7,0.04,0.0,9.449999999999998
SE,0.02,0.72,3.08,2.84,3.3,1.05,0.08,0.01,11.100000000000001
SSE,0.02,0.61,2.54,2.68,4.64,2.4,0.32,0.02,13.229999999999999
S,0.01,0.41,1.44,1.51,3.65,3.2,0.75,0.08,11.049999999999999
SSW,0.01,0.34,0.79,0.72,1.9,1.36,0.23,0.02,5.37
SW,0.05,0.43,0.44,0.39,0.95,0.5,0.07,0.01,2.8399999999999994
WSW,0.06,0.44,0.36,0.27,0.55,0.28,0.05,0.01,2.0199999999999996
W,0.05,0.51,0.48,0.35,0.64,0.29,0.06,0.02,2.4000000000000004
WNW,0.04,0.53,0.67,0.42,0.65,0.36,0.11,0.03,2.8099999999999996
NW,0.02,0.44,0.91,0.58,0.99,0.77,0.23,0.04,3.9800000000000004
NNW,0.01,0.2,0.92,0.93,1.59,1.4,0.38,0.05,5.48
N,0.01,0.31,1.34,1.45,2.82,2.28,0.59,0.08,8.879999999999999
Total,0.81,7.56,21.69,19.34,30.450000000000003,16.61,3.1599999999999997,0.39,100.01
