direction_bin,calm,0-2.5,2.5-5,5-7.5,7.5-10,10-12.5,12.5-15,>15,Total
calm,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85
NNE,0.0,2.5,2.06,0.24,0.02,0.0,0.0,0.0,4.82
NE,0.0,2.5,1.12,0.04,0.0,0.0,0.0,0.0,3.66
ENE,0.0,2.4,1.53,0.1,0.0,0.0,0.0,0.0,4.029999999999999
E,0.0,2.88,1.4,0.11,0.0,0.0,0.0,0.0,4.39
ESE,0.0,3.49,1.52,0.14,0.01,0.0,0.0,0.0,5.159999999999999
SE,0.0,3.7,2.11,0.26,0.02,0.0,0.0,0.0,6.09
SSE,0.0,3.28,4.9,1.92,0.31,0.02,0.0,0.0,10.43
S,0.0,3.28,7.49,5.45,1.98,0.28,0.01,0.0,18.490000000000002
SSW,0.0,2.68,3.85,2.05,0.79,0.17,0.01,0.0,9.55
SW,0.0,2.21,1.9,0.57,0.14,0.02,0.0,0.0,4.839999999999999
WSW,0.0,1.31,0.69,0.2,0.05,0.02,0.0,0.0,2.27
W,0.0,1.39,0.6,0.22,0.05,0.01,0.0,0.0,2.2699999999999996
WNW,0.0,1.77,0.98,0.37,0.07,0.01,0.0,0.0,3.1999999999999997
NW,0.0,2.81,1.4,0.42,0.04,0.0,0.0,0.0,4.67
NNW,0.0,3.22,2.57,0.67,0.04,0.0,0.0,0.0,6.5
N,0.0,3.45,4.13,1.11,0.09,0.0,0.0,0.0,8.78
Total,0.85,42.870000000000005,38.25000000000001,13.87,3.61,0.53,0.02,0.0,100.0
