direction_bin,0-0.1,0.1-0.2,0.2-0.4,0.4-0.6,0.6-1,1-1.5,1.5-2,>2,Total
calm,0.67,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.8500000000000001
NNE,0.01,0.19,0.73,0.82,1.81,1.06,0.17,0.03,4.82
NE,0.01,0.21,0.77,0.95,1.35,0.35,0.03,0.0,3.67
ENE,0.01,0.3,0.92,1.08,1.44,0.25,0.01,0.0,4.01
E,0.01,0.39,1.29,1.09,1.31,0.28,0.02,0.0,4.39
ESE,0.01,0.56,1.96,1.25,1.15,0.22,0.02,0.0,5.169999999999999
SE,0.01,0.62,2.07,1.42,1.56,0.37,0.03,0.0,6.08
SSE,0.03,0.84,2.05,2.04,3.61,1.65,0.2,0.02,10.44
S,0.06,1.0,2.17,2.72,6.55,4.82,1.06,0.11,18.49
SSW,0.08,1.18,1.81,1.39,2.8,1.8,0.43,0.05,9.540000000000001
SW,0.06,0.95,1.36,0.7,1.09,0.56,0.1,0.02,4.84
WSW,0.04,0.5,0.62,0.34,0.45,0.23,0.06,0.02,2.2600000000000002
W,0.04,0.51,0.65,0.33,0.41,0.25,0.07,0.02,2.2800000000000002
WNW,0.02,0.41,0.87,0.47,0.7,0.49,0.18,0.04,3.18
NW,0.01,0.35,1.47,0.74,0.99,0.76,0.29,0.06,4.67
NNW,0.01,0.27,1.34,1.11,1.7,1.49,0.49,0.09,6.500000000000001
N,0.01,0.24,1.06,1.23,2.89,2.49,0.73,0.12,8.77
Total,1.09,8.700000000000001,21.139999999999997,17.680000000000003,29.810000000000002,17.07,3.89,0.58,99.96
