direction_bin,calm,0-2.5,2.5-5,5-7.5,7.5-10,10-12.5,12.5-15,>15,Total
calm,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29
NNE,0.0,2.57,1.32,0.25,0.02,0.0,0.0,0.0,4.159999999999999
NE,0.0,2.54,0.93,0.09,0.01,0.0,0.0,0.0,3.57
ENE,0.0,2.78,1.55,0.15,0.01,0.0,0.0,0.0,4.49
E,0.0,4.34,3.65,0.47,0.04,0.0,0.0,0.0,8.5
ESE,0.0,3.85,5.67,1.09,0.05,0.0,0.0,0.0,10.66
SE,0.0,3.47,5.69,0.97,0.06,0.0,0.0,0.0,10.190000000000001
SSE,0.0,3.69,6.31,1.43,0.12,0.01,0.0,0.0,11.559999999999999
S,0.0,2.77,5.29,2.12,0.35,0.02,0.0,0.0,10.549999999999999
SSW,0.0,1.39,2.68,1.15,0.22,0.02,0.0,0.0,5.46
SW,0.0,1.03,1.36,0.37,0.07,0.01,0.0,0.0,2.84
WSW,0.0,0.88,0.79,0.21,0.06,0.01,0.0,0.0,1.95
W,0.0,1.16,1.1,0.26,0.07,0.02,0.0,0.0,2.6099999999999994
WNW,0.0,1.44,1.71,0.45,0.15,0.04,0.0,0.0,3.79
NW,0.0,1.89,2.31,1.11,0.39,0.07,0.01,0.0,5.78
NNW,0.0,2.07,2.31,1.53,0.55,0.08,0.01,0.0,6.55
N,0.0,2.78,2.72,1.25,0.3,0.03,0.0,0.0,7.08
Total,0.29,38.650000000000006,45.38999999999999,12.9,2.4699999999999998,0.31000000000000005,0.02,0.0,100.03
