direction_bin,0-0.1,0.1-0.2,0.2-0.4,0.4-0.6,0.6-1,1-1.5,1.5-2,>2,Total
calm,0.21,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.28
NNE,0.02,0.68,1.33,0.73,0.99,0.36,0.04,0.01,4.16
NE,0.01,0.57,1.28,0.66,0.8,0.22,0.02,0.0,3.5600000000000005
ENE,0.01,0.62,1.55,0.9,1.12,0.27,0.02,0.0,4.49
E,0.02,0.78,2.79,1.96,2.32,0.58,0.04,0.0,8.489999999999998
ESE,0.02,0.73,2.92,2.53,3.45,0.96,0.05,0.0,10.66
SE,0.02,0.59,2.04,2.5,3.74,1.18,0.09,0.01,10.17
SSE,0.05,0.8,2.2,2.47,4.02,1.77,0.22,0.01,11.54
S,0.09,0.9,1.5,1.6,3.57,2.38,0.46,0.04,10.54
SSW,0.05,0.42,0.62,0.77,2.04,1.3,0.24,0.02,5.46
SW,0.02,0.27,0.5,0.51,1.05,0.42,0.06,0.01,2.84
WSW,0.02,0.21,0.45,0.38,0.6,0.23,0.05,0.01,1.9500000000000002
W,0.03,0.39,0.73,0.49,0.65,0.26,0.06,0.02,2.63
WNW,0.05,0.57,1.03,0.68,0.9,0.43,0.11,0.02,3.79
NW,0.05,0.78,1.33,0.93,1.53,0.92,0.21,0.04,5.79
NNW,0.06,0.92,1.43,0.96,1.81,1.16,0.2,0.03,6.57
N,0.03,0.87,1.87,1.19,1.98,1.0,0.14,0.02,7.099999999999999
Total,0.76,10.17,23.570000000000004,19.26,30.570000000000004,13.44,2.0100000000000002,0.24000000000000002,100.02
