direction_bin,calm,0-2.5,2.5-5,5-7.5,7.5-10,10-12.5,12.5-15,>15,Total
calm,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98
NNE,0.0,1.71,0.83,0.13,0.01,0.0,0.0,0.0,2.6799999999999997
NE,0.0,3.77,1.07,0.11,0.01,0.0,0.0,0.0,4.96
ENE,0.0,6.36,2.65,0.26,0.02,0.0,0.0,0.0,9.29
E,0.0,8.99,5.14,0.39,0.02,0.0,0.0,0.0,14.54
ESE,0.0,6.46,3.4,0.28,0.01,0.0,0.0,0.0,10.149999999999999
SE,0.0,4.51,3.91,0.55,0.04,0.0,0.0,0.0,9.01
SSE,0.0,2.8,3.41,0.94,0.09,0.01,0.0,0.0,7.25
S,0.0,1.88,3.35,1.23,0.13,0.01,0.0,0.0,6.6000000000000005
SSW,0.0,1.39,2.03,0.79,0.1,0.0,0.0,0.0,4.31
SW,0.0,1.29,1.48,0.44,0.08,0.01,0.0,0.0,3.3
WSW,0.0,1.29,0.77,0.21,0.06,0.0,0.0,0.0,2.33
W,0.0,1.72,0.91,0.24,0.06,0.01,0.0,0.0,2.94
WNW,0.0,2.54,1.87,0.71,0.19,0.05,0.0,0.0,5.36
NW,0.0,3.11,2.2,0.98,0.29,0.03,0.0,0.0,6.610000000000001
NNW,0.0,2.0,1.98,0.92,0.16,0.01,0.0,0.0,5.07
N,0.0,1.56,1.56,0.42,0.05,0.0,0.0,0.0,3.59
Total,1.98,51.379999999999995,36.56,8.6,1.32,0.13,0.0,0.0,99.97
