direction_bin,0-0.1,0.1-0.2,0.2-0.4,0.4-0.6,0.6-1,1-1.5,1.5-2,>2,Total
calm,1.65,0.33,0.0,0.0,0.0,0.0,0.0,0.0,1.98
NNE,0.02,0.47,0.9,0.52,0.59,0.17,0.02,0.0,2.69
NE,0.07,1.28,1.78,0.82,0.81,0.18,0.02,0.0,4.959999999999999
ENE,0.18,2.41,2.97,1.68,1.68,0.34,0.03,0.0,9.29
E,0.08,2.57,5.02,3.29,3.05,0.51,0.03,0.0,14.55
ESE,0.02,0.91,3.34,2.58,2.73,0.52,0.03,0.0,10.129999999999999
SE,0.01,0.59,2.45,2.37,2.83,0.71,0.05,0.0,9.010000000000002
SSE,0.01,0.43,1.81,1.72,2.5,0.72,0.06,0.0,7.249999999999999
S,0.0,0.2,1.04,1.42,2.72,1.1,0.11,0.01,6.6000000000000005
SSW,0.01,0.17,0.62,0.82,1.83,0.79,0.07,0.01,4.32
SW,0.01,0.21,0.54,0.66,1.37,0.46,0.05,0.01,3.3099999999999996
WSW,0.02,0.33,0.5,0.47,0.76,0.22,0.03,0.01,2.34
W,0.03,0.5,0.77,0.55,0.75,0.27,0.05,0.02,2.94
WNW,0.06,0.95,1.32,0.92,1.39,0.57,0.12,0.03,5.36
NW,0.06,1.18,1.81,1.05,1.45,0.85,0.18,0.03,6.609999999999999
NNW,0.03,0.58,1.21,0.87,1.43,0.8,0.13,0.02,5.069999999999999
N,0.02,0.35,0.95,0.76,1.03,0.42,0.06,0.01,3.6
Total,2.28,13.459999999999999,27.029999999999998,20.5,26.920000000000005,8.63,1.04,0.15000000000000002,100.00999999999999
