direction_bin,calm,0-2.5,2.5-5,5-7.5,7.5-10,10-12.5,12.5-15,>15,Total
calm,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25
NNE,0.0,1.69,1.51,0.32,0.02,0.0,0.0,0.0,3.54
NE,0.0,1.54,0.74,0.08,0.01,0.0,0.0,0.0,2.37
ENE,0.0,1.42,0.44,0.03,0.0,0.0,0.0,0.0,1.89
E,0.0,2.75,1.04,0.07,0.0,0.0,0.0,0.0,3.86
ESE,0.0,9.06,7.01,1.03,0.04,0.0,0.0,0.0,17.14
SE,0.0,8.11,8.61,2.05,0.13,0.0,0.0,0.0,18.9
SSE,0.0,2.71,5.29,2.14,0.17,0.0,0.0,0.0,10.31
S,0.0,1.56,3.07,1.52,0.18,0.0,0.0,0.0,6.33
SSW,0.0,0.88,1.45,0.48,0.05,0.0,0.0,0.0,2.86
SW,0.0,0.71,0.72,0.21,0.04,0.01,0.0,0.0,1.69
WSW,0.0,0.64,0.44,0.15,0.04,0.01,0.0,0.0,1.28
W,0.0,0.98,0.49,0.14,0.03,0.01,0.0,0.0,1.65
WNW,0.0,2.25,1.04,0.29,0.1,0.01,0.0,0.0,3.69
NW,0.0,4.02,2.29,0.94,0.37,0.07,0.01,0.0,7.7
NNW,0.0,2.54,2.55,1.96,0.73,0.11,0.01,0.0,7.8999999999999995
N,0.0,1.9,2.62,1.64,0.42,0.04,0.0,0.0,6.619999999999999
Total,2.25,42.76,39.309999999999995,13.05,2.3299999999999996,0.25999999999999995,0.02,0.0,99.98000000000002
