direction_bin,0-0.1,0.1-0.2,0.2-0.4,0.4-0.6,0.6-1,1-1.5,1.5-2,>2,Total
calm,1.95,0.3,0.0,0.0,0.0,0.0,0.0,0.0,2.25
NNE,0.01,0.3,0.77,0.68,1.18,0.53,0.06,0.01,3.5400000000000005
NE,0.01,0.3,0.7,0.47,0.66,0.21,0.02,0.0,2.37
ENE,0.01,0.23,0.61,0.44,0.48,0.11,0.01,0.0,1.8900000000000001
E,0.02,0.53,1.25,0.85,0.98,0.21,0.02,0.0,3.86
ESE,0.09,2.3,5.62,3.88,4.13,1.05,0.07,0.0,17.14
SE,0.2,3.0,4.66,3.72,5.37,1.78,0.16,0.01,18.900000000000002
SSE,0.03,0.48,1.3,1.64,3.94,2.51,0.4,0.03,10.33
S,0.01,0.21,0.55,0.7,2.34,2.03,0.45,0.04,6.33
SSW,0.0,0.11,0.32,0.4,1.22,0.71,0.11,0.01,2.8799999999999994
SW,0.0,0.08,0.27,0.3,0.65,0.3,0.06,0.01,1.6700000000000002
WSW,0.0,0.1,0.27,0.25,0.4,0.19,0.05,0.01,1.27
W,0.01,0.2,0.5,0.3,0.41,0.18,0.05,0.02,1.67
WNW,0.02,0.61,1.3,0.59,0.67,0.35,0.11,0.03,3.6799999999999997
NW,0.12,1.65,2.18,1.07,1.47,0.89,0.26,0.05,7.6899999999999995
NNW,0.1,1.04,1.46,1.12,2.23,1.55,0.35,0.05,7.8999999999999995
N,0.03,0.49,1.03,1.0,2.27,1.45,0.31,0.04,6.62
Total,2.61,11.929999999999998,22.79,17.409999999999997,28.4,14.049999999999999,2.4899999999999998,0.31,99.99000000000002
