direction_bin,calm,0-2.5,2.5-5,5-7.5,7.5-10,10-12.5,12.5-15,>15,Total
calm,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9
NNE,0.0,4.01,2.14,0.21,0.01,0.0,0.0,0.0,6.37
NE,0.0,4.53,0.86,0.01,0.0,0.0,0.0,0.0,5.4
ENE,0.0,4.39,0.39,0.01,0.0,0.0,0.0,0.0,4.789999999999999
E,0.0,4.89,0.51,0.01,0.0,0.0,0.0,0.0,5.409999999999999
ESE,0.0,5.94,0.69,0.01,0.0,0.0,0.0,0.0,6.640000000000001
SE,0.0,5.23,1.2,0.03,0.0,0.0,0.0,0.0,6.460000000000001
SSE,0.0,5.77,3.29,0.16,0.0,0.0,0.0,0.0,9.219999999999999
S,0.0,7.43,8.26,1.09,0.02,0.0,0.0,0.0,16.8
SSW,0.0,4.97,3.93,0.57,0.02,0.0,0.0,0.0,9.49
SW,0.0,3.21,1.45,0.22,0.03,0.0,0.0,0.0,4.91
WSW,0.0,1.48,0.56,0.16,0.04,0.01,0.0,0.0,2.25
W,0.0,0.97,0.44,0.15,0.04,0.01,0.0,0.0,1.6099999999999999
WNW,0.0,0.95,0.58,0.22,0.08,0.01,0.0,0.0,1.8399999999999999
NW,0.0,1.08,1.24,0.62,0.22,0.02,0.0,0.0,3.1800000000000006
NNW,0.0,1.25,1.82,1.13,0.3,0.03,0.0,0.0,4.53
N,0.0,2.58,3.62,1.65,0.28,0.03,0.0,0.0,8.159999999999998
Total,2.9,58.67999999999999,30.98,6.25,1.04,0.11,0.0,0.0,99.96000000000001
