direction_bin,0-0.1,0.1-0.2,0.2-0.4,0.4-0.6,0.6-1,1-1.5,1.5-2,>2,Total
calm,2.39,0.51,0.0,0.0,0.0,0.0,0.0,0.0,2.9000000000000004
NNE,0.0,0.31,1.1,0.96,1.98,1.54,0.4,0.08,6.37
NE,0.01,0.6,1.27,0.87,1.61,0.91,0.13,0.02,5.42
ENE,0.02,0.57,1.35,0.97,1.37,0.46,0.04,0.01,4.79
E,0.02,0.52,1.9,1.22,1.33,0.38,0.04,0.0,5.41
ESE,0.01,0.49,2.54,1.56,1.52,0.48,0.05,0.0,6.6499999999999995
SE,0.0,0.23,1.18,1.36,2.32,1.1,0.24,0.03,6.46
SSE,0.0,0.18,0.92,1.32,3.12,2.58,0.93,0.18,9.23
S,0.01,0.28,1.19,1.63,4.5,5.46,2.92,0.83,16.82
SSW,0.01,0.49,1.39,1.07,2.39,2.79,1.1,0.25,9.49
SW,0.02,0.7,1.22,0.51,1.11,1.01,0.28,0.06,4.91
WSW,0.01,0.38,0.55,0.33,0.58,0.31,0.08,0.03,2.27
W,0.0,0.2,0.42,0.32,0.42,0.18,0.04,0.01,1.5899999999999999
WNW,0.0,0.16,0.45,0.35,0.51,0.28,0.08,0.02,1.85
NW,0.0,0.14,0.58,0.62,1.02,0.63,0.17,0.02,3.1799999999999997
NNW,0.0,0.19,0.76,0.78,1.52,1.04,0.22,0.03,4.54
N,0.01,0.28,1.0,1.14,2.65,2.17,0.73,0.18,8.16
Total,2.5099999999999993,6.23,17.82,15.010000000000002,27.950000000000003,21.32,7.450000000000001,1.7499999999999998,100.03999999999999
