direction_bin,calm,0-2.5,2.5-5,5-7.5,7.5-10,10-12.5,12.5-15,Total
calm,3.41,0.0,0.0,0.0,0.0,0.0,0.0,3.41
NNE,0.0,4.1,0.33,0.0,0.0,0.0,0.0,4.43
NE,0.0,6.32,0.3,0.0,0.0,0.0,0.0,6.62
ENE,0.0,10.69,0.71,0.02,0.0,0.0,0.0,11.419999999999998
E,0.0,11.4,0.85,0.0,0.0,0.0,0.0,12.25
ESE,0.0,5.54,0.59,0.01,0.0,0.0,0.0,6.14
SE,0.0,6.6,1.9,0.08,0.0,0.0,0.0,8.58
SSE,0.0,4.82,6.07,0.72,0.01,0.0,0.0,11.620000000000001
S,0.0,3.13,4.57,0.64,0.01,0.0,0.0,8.35
SSW,0.0,2.38,2.51,0.31,0.01,0.0,0.0,5.209999999999999
SW,0.0,2.2,1.55,0.14,0.01,0.0,0.0,3.9
WSW,0.0,1.84,0.72,0.08,0.0,0.0,0.0,2.64
W,0.0,1.45,0.25,0.01,0.0,0.0,0.0,1.71
WNW,0.0,1.66,0.31,0.0,0.0,0.0,0.0,1.97
NW,0.0,2.87,0.68,0.01,0.0,0.0,0.0,3.56
NNW,0.0,3.35,0.68,0.0,0.0,0.0,0.0,4.03
N,0.0,3.66,0.48,0.0,0.0,0.0,0.0,4.140000000000001
Total,3.41,72.00999999999999,22.500000000000004,2.02,0.04,0.0,0.0,99.98
