direction_bin,0-0.1,0.1-0.2,0.2-0.4,0.4-0.6,0.6-1,1-1.5,1.5-2,>2,Total
calm,2.55,0.86,0.0,0.0,0.0,0.0,0.0,0.0,3.4099999999999997
NNE,0.03,0.57,1.38,0.79,1.05,0.53,0.07,0.0,4.420000000000001
NE,0.06,1.3,2.58,1.11,1.18,0.37,0.03,0.0,6.630000000000001
ENE,0.04,1.54,4.81,2.26,2.14,0.57,0.06,0.01,11.43
E,0.01,0.93,4.73,3.28,2.78,0.5,0.02,0.0,12.25
ESE,0.0,0.37,1.87,1.6,1.92,0.35,0.02,0.0,6.129999999999999
SE,0.0,0.15,1.47,2.0,3.25,1.49,0.2,0.02,8.579999999999998
SSE,0.0,0.24,1.69,2.07,4.6,2.6,0.38,0.04,11.62
S,0.0,0.17,1.11,1.47,3.56,1.82,0.21,0.01,8.350000000000001
SSW,0.0,0.1,0.73,1.08,2.25,0.94,0.1,0.0,5.199999999999999
SW,0.0,0.12,0.59,0.9,1.74,0.5,0.05,0.01,3.9099999999999993
WSW,0.0,0.08,0.47,0.61,1.04,0.38,0.06,0.01,2.65
W,0.0,0.08,0.45,0.47,0.55,0.14,0.01,0.0,1.7
WNW,0.0,0.09,0.43,0.41,0.67,0.32,0.05,0.0,1.9700000000000002
NW,0.0,0.11,0.5,0.58,1.16,0.91,0.25,0.03,3.5399999999999996
NNW,0.0,0.15,0.71,0.72,1.15,0.98,0.28,0.03,4.0200000000000005
N,0.01,0.31,0.98,0.77,1.13,0.78,0.16,0.01,4.15
Total,2.6999999999999993,7.17,24.5,20.119999999999997,30.169999999999998,13.18,1.9500000000000002,0.17,99.96000000000001
