direction_bin,calm,0-2.5,2.5-5,5-7.5,7.5-10,10-12.5,12.5-15,>15,Total
calm,1.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.71
NNE,0.0,2.56,0.9,0.07,0.0,0.0,0.0,0.0,3.53
NE,0.0,7.01,0.64,0.03,0.0,0.0,0.0,0.0,7.68
ENE,0.0,13.6,2.66,0.05,0.0,0.0,0.0,0.0,16.31
E,0.0,8.4,5.97,0.85,0.02,0.0,0.0,0.0,15.24
ESE,0.0,4.57,3.03,0.3,0.01,0.0,0.0,0.0,7.909999999999999
SE,0.0,3.6,1.9,0.14,0.0,0.0,0.0,0.0,5.64
SSE,0.0,2.77,2.22,0.28,0.01,0.0,0.0,0.0,5.28
S,0.0,2.34,2.72,0.7,0.04,0.0,0.0,0.0,5.800000000000001
SSW,0.0,1.7,1.67,0.53,0.05,0.0,0.0,0.0,3.95
SW,0.0,1.85,1.29,0.33,0.06,0.01,0.0,0.0,3.54
WSW,0.0,1.98,1.15,0.24,0.07,0.01,0.0,0.0,3.4499999999999997
W,0.0,1.84,1.35,0.46,0.15,0.04,0.01,0.0,3.85
WNW,0.0,1.75,1.62,0.76,0.25,0.04,0.0,0.0,4.42
NW,0.0,1.89,1.98,0.54,0.05,0.0,0.0,0.0,4.46
NNW,0.0,1.85,1.54,0.16,0.0,0.0,0.0,0.0,3.5500000000000003
N,0.0,2.18,1.4,0.09,0.0,0.0,0.0,0.0,3.67
Total,1.71,59.89,32.04,5.53,0.71,0.1,0.01,0.0,99.99
