direction_bin,0-0.1,0.1-0.2,0.2-0.4,0.4-0.6,0.6-1,1-1.5,1.5-2,>2,Total
calm,1.37,0.33,0.0,0.0,0.0,0.0,0.0,0.0,1.7000000000000002
NNE,0.01,0.47,1.03,0.59,0.89,0.46,0.07,0.01,3.53
NE,0.03,1.33,4.23,1.23,0.67,0.17,0.02,0.0,7.68
ENE,0.05,2.18,8.21,3.77,1.83,0.26,0.02,0.0,16.32
E,0.06,1.34,3.3,3.26,5.11,1.92,0.22,0.01,15.22
ESE,0.05,0.85,1.64,1.59,2.74,0.95,0.1,0.01,7.93
SE,0.02,0.52,1.21,1.21,1.97,0.65,0.06,0.01,5.6499999999999995
SSE,0.01,0.29,0.87,1.06,2.11,0.85,0.09,0.01,5.289999999999999
S,0.01,0.21,0.74,0.98,2.15,1.39,0.3,0.03,5.81
SSW,0.01,0.22,0.63,0.65,1.44,0.83,0.16,0.02,3.9600000000000004
SW,0.01,0.3,0.72,0.69,1.25,0.48,0.07,0.01,3.5299999999999994
WSW,0.01,0.34,0.88,0.73,1.06,0.34,0.07,0.02,3.4499999999999997
W,0.02,0.46,1.03,0.81,1.05,0.38,0.07,0.02,3.84
WNW,0.01,0.36,1.02,0.83,1.23,0.72,0.2,0.05,4.42
NW,0.0,0.14,0.68,0.71,1.44,1.12,0.31,0.05,4.449999999999999
NNW,0.0,0.13,0.53,0.58,1.23,0.88,0.18,0.03,3.5599999999999996
N,0.0,0.19,0.66,0.67,1.27,0.74,0.12,0.02,3.6700000000000004
Total,1.6700000000000002,9.66,27.380000000000006,19.360000000000003,27.44,12.139999999999999,2.06,0.30000000000000004,100.01
