direction_bin,calm,0-2.5,2.5-5,5-7.5,7.5-10,Total
calm,14.33,0.0,0.0,0.0,0.0,14.33
NNE,0.0,4.7,0.51,0.07,0.0,5.28
NE,0.0,4.09,0.66,0.0,0.0,4.75
ENE,0.0,4.0,0.74,0.0,0.0,4.74
E,0.0,4.02,0.41,0.0,0.0,4.43
ESE,0.0,3.73,0.45,0.0,0.0,4.18
SE,0.0,5.01,1.46,0.05,0.0,6.52
SSE,0.0,6.38,1.87,0.24,0.0,8.49
S,0.0,5.27,3.76,0.61,0.01,9.649999999999999
SSW,0.0,2.98,1.25,0.04,0.0,4.2700000000000005
SW,0.0,2.14,0.54,0.02,0.0,2.7
WSW,0.0,1.71,0.3,0.02,0.0,2.03
W,0.0,1.78,0.12,0.01,0.0,1.91
WNW,0.0,2.48,0.13,0.03,0.0,2.6399999999999997
NW,0.0,4.39,0.8,0.29,0.01,5.489999999999999
NNW,0.0,6.35,2.3,0.76,0.14,9.549999999999999
N,0.0,6.08,2.17,0.74,0.06,9.05
Total,14.33,65.11,17.47,2.88,0.22000000000000003,100.00999999999999
