direction_bin,0-0.1,0.1-0.2,0.2-0.4,0.4-0.6,0.6-1,1-1.5,1.5-2,>2,Total
calm,11.98,2.35,0.01,0.0,0.0,0.0,0.0,0.0,14.34
NNE,0.0,0.84,2.61,1.01,0.64,0.17,0.01,0.0,5.279999999999999
NE,0.0,0.44,2.08,1.24,0.87,0.1,0.0,0.0,4.7299999999999995
ENE,0.0,0.27,1.73,1.38,1.23,0.13,0.0,0.0,4.739999999999999
E,0.0,0.37,1.65,1.23,1.05,0.12,0.01,0.0,4.43
ESE,0.01,0.48,1.6,1.07,0.91,0.1,0.01,0.0,4.18
SE,0.02,0.87,2.47,1.52,1.41,0.22,0.01,0.0,6.5200000000000005
SSE,0.03,1.48,2.99,1.68,1.89,0.4,0.02,0.0,8.49
S,0.01,0.92,2.25,1.67,3.26,1.4,0.13,0.01,9.65
SSW,0.0,0.24,0.95,0.82,1.56,0.62,0.07,0.0,4.26
SW,0.0,0.19,0.78,0.57,0.8,0.29,0.06,0.0,2.69
WSW,0.0,0.19,0.74,0.45,0.48,0.16,0.01,0.0,2.03
W,0.0,0.39,0.92,0.32,0.24,0.04,0.0,0.0,1.9100000000000001
WNW,0.0,0.61,1.34,0.38,0.21,0.08,0.02,0.0,2.64
NW,0.01,1.04,2.35,0.6,0.75,0.38,0.28,0.07,5.48
NNW,0.02,1.47,3.24,1.34,2.01,1.03,0.36,0.1,9.569999999999999
N,0.01,1.35,3.33,1.34,1.83,1.0,0.17,0.02,9.049999999999999
Total,12.09,13.499999999999998,31.04,16.62,19.14,6.24,1.1600000000000001,0.2,99.99
