direction_bin,calm,0-2.5,2.5-5,5-7.5,7.5-10,10-12.5,12.5-15,>15,Total
calm,1.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.93
NNE,0.0,2.62,1.55,0.33,0.05,0.0,0.0,0.0,4.55
NE,0.0,6.5,1.56,0.14,0.01,0.0,0.0,0.0,8.21
ENE,0.0,6.0,2.52,0.27,0.02,0.0,0.0,0.0,8.809999999999999
E,0.0,4.33,4.14,1.03,0.07,0.0,0.0,0.0,9.569999999999999
ESE,0.0,2.46,1.97,0.45,0.04,0.0,0.0,0.0,4.92
SE,0.0,2.23,2.14,0.56,0.07,0.01,0.0,0.0,5.01
SSE,0.0,2.13,3.32,1.32,0.25,0.02,0.0,0.0,7.039999999999999
S,0.0,1.54,3.66,2.58,0.98,0.18,0.02,0.0,8.959999999999999
SSW,0.0,1.2,2.91,2.2,0.85,0.15,0.02,0.0,7.33
SW,0.0,1.44,1.59,0.88,0.25,0.05,0.01,0.0,4.22
WSW,0.0,2.14,0.91,0.33,0.13,0.03,0.01,0.0,3.55
W,0.0,3.44,1.36,0.39,0.13,0.04,0.01,0.0,5.369999999999999
WNW,0.0,2.04,1.42,0.53,0.19,0.04,0.0,0.0,4.220000000000001
NW,0.0,1.59,2.49,0.93,0.2,0.02,0.0,0.0,5.2299999999999995
NNW,0.0,1.57,3.02,1.12,0.12,0.01,0.0,0.0,5.84
N,0.0,1.73,2.55,0.84,0.11,0.01,0.0,0.0,5.239999999999999
Total,1.93,42.959999999999994,37.11,13.9,3.47,0.56,0.06999999999999999,0.0,99.99999999999999
