direction_bin,0-0.1,0.1-0.2,0.2-0.4,0.4-0.6,0.6-1,1-1.5,1.5-2,>2,Total
calm,1.54,0.38,0.0,0.0,0.0,0.0,0.0,0.0,1.92
NNE,0.05,1.01,1.42,0.79,0.94,0.31,0.03,0.0,4.55
NE,0.19,3.56,2.71,0.85,0.75,0.15,0.01,0.0,8.219999999999999
ENE,0.13,2.59,3.31,1.41,1.16,0.2,0.01,0.0,8.809999999999999
E,0.05,1.21,2.91,2.49,2.51,0.4,0.02,0.0,9.59
ESE,0.02,0.58,1.52,1.14,1.35,0.28,0.02,0.0,4.909999999999999
SE,0.01,0.55,1.48,1.09,1.46,0.39,0.03,0.0,5.01
SSE,0.03,0.87,1.75,1.24,2.18,0.88,0.09,0.01,7.05
S,0.01,0.33,1.35,1.41,3.12,2.22,0.46,0.06,8.960000000000003
SSW,0.01,0.23,0.94,1.13,2.66,1.89,0.41,0.06,7.329999999999999
SW,0.02,0.41,0.83,0.67,1.45,0.71,0.11,0.02,4.22
WSW,0.06,0.89,0.98,0.5,0.73,0.31,0.06,0.02,3.55
W,0.13,1.86,1.48,0.64,0.82,0.35,0.07,0.02,5.37
WNW,0.03,0.68,1.16,0.71,0.96,0.51,0.13,0.03,4.21
NW,0.01,0.25,0.99,0.99,1.66,1.02,0.27,0.05,5.239999999999999
NNW,0.0,0.14,0.79,1.04,2.16,1.38,0.29,0.04,5.840000000000001
N,0.01,0.28,1.01,1.1,1.83,0.86,0.13,0.01,5.23
Total,2.3,15.82,24.63,17.200000000000003,25.740000000000002,11.86,2.1399999999999997,0.32000000000000006,100.01
