direction_bin,calm,0-2.5,2.5-5,5-7.5,7.5-10,10-12.5,12.5-15,>15,Total
calm,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63
NNE,0.0,2.14,3.53,1.63,0.29,0.03,0.0,0.0,7.62
NE,0.0,1.78,3.14,0.85,0.09,0.01,0.0,0.0,5.869999999999999
ENE,0.0,1.84,1.82,0.21,0.02,0.0,0.0,0.0,3.89
E,0.0,3.12,1.11,0.06,0.0,0.0,0.0,0.0,4.29
ESE,0.0,2.75,0.34,0.01,0.0,0.0,0.0,0.0,3.0999999999999996
SE,0.0,4.2,0.93,0.03,0.0,0.0,0.0,0.0,5.16
SSE,0.0,5.45,5.66,1.0,0.05,0.0,0.0,0.0,12.16
S,0.0,4.0,9.63,6.42,1.4,0.11,0.0,0.0,21.56
SSW,0.0,2.3,3.55,2.52,0.68,0.08,0.01,0.0,9.139999999999999
SW,0.0,1.34,1.16,0.51,0.15,0.03,0.01,0.0,3.1999999999999993
WSW,0.0,0.87,0.46,0.17,0.06,0.02,0.01,0.0,1.59
W,0.0,0.87,0.47,0.19,0.05,0.02,0.0,0.0,1.5999999999999999
WNW,0.0,1.23,0.76,0.28,0.1,0.03,0.0,0.0,2.4
NW,0.0,1.7,1.43,0.76,0.28,0.04,0.0,0.0,4.21
NNW,0.0,2.14,2.29,1.23,0.33,0.05,0.0,0.0,6.04
N,0.0,2.45,3.1,1.67,0.32,0.02,0.0,0.0,7.5600000000000005
Total,0.63,38.18000000000001,39.38,17.54,3.82,0.44000000000000006,0.03,0.0,100.02
