direction_bin,0-0.1,0.1-0.2,0.2-0.4,0.4-0.6,0.6-1,1-1.5,1.5-2,>2,Total
calm,0.49,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.63
NNE,0.04,0.77,1.51,1.39,2.55,1.17,0.17,0.02,7.619999999999999
NE,0.02,0.59,1.57,1.31,1.73,0.59,0.06,0.01,5.88
ENE,0.01,0.3,1.26,1.0,1.01,0.28,0.03,0.0,3.89
E,0.0,0.24,1.62,1.22,0.96,0.24,0.02,0.0,4.3
ESE,0.0,0.13,1.16,0.89,0.71,0.19,0.01,0.0,3.09
SE,0.0,0.11,1.34,1.78,1.43,0.44,0.05,0.01,5.16
SSE,0.0,0.19,1.87,3.28,4.38,2.07,0.33,0.03,12.149999999999999
S,0.01,0.38,2.16,3.34,7.55,6.48,1.5,0.14,21.560000000000002
SSW,0.01,0.58,1.59,1.23,3.16,2.16,0.36,0.03,9.12
SW,0.02,0.42,0.7,0.52,1.02,0.43,0.07,0.02,3.1999999999999997
WSW,0.01,0.22,0.41,0.28,0.42,0.17,0.05,0.02,1.58
W,0.02,0.28,0.4,0.28,0.39,0.17,0.04,0.01,1.59
WNW,0.04,0.49,0.61,0.35,0.49,0.29,0.09,0.03,2.3899999999999997
NW,0.04,0.57,0.87,0.6,1.04,0.79,0.24,0.05,4.2
NNW,0.07,0.81,1.23,0.84,1.59,1.16,0.29,0.05,6.04
N,0.07,0.86,1.42,1.19,2.27,1.46,0.26,0.03,7.56
Total,0.8500000000000001,7.080000000000001,19.72,19.500000000000004,30.699999999999996,18.09,3.5700000000000003,0.45000000000000007,99.96000000000001
