direction_bin,calm,0-2.5,2.5-5,5-7.5,7.5-10,10-12.5,12.5-15,>15,Total
calm,2.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.63
NNE,0.0,4.37,1.99,0.23,0.01,0.0,0.0,0.0,6.6000000000000005
NE,0.0,3.65,0.85,0.06,0.0,0.0,0.0,0.0,4.56
ENE,0.0,3.59,0.68,0.04,0.0,0.0,0.0,0.0,4.31
E,0.0,4.44,0.73,0.02,0.0,0.0,0.0,0.0,5.1899999999999995
ESE,0.0,4.19,1.11,0.05,0.0,0.0,0.0,0.0,5.3500000000000005
SE,0.0,4.31,2.16,0.24,0.01,0.0,0.0,0.0,6.72
SSE,0.0,4.38,4.97,1.58,0.18,0.01,0.0,0.0,11.12
S,0.0,4.06,5.42,1.85,0.19,0.01,0.0,0.0,11.53
SSW,0.0,2.84,3.42,0.76,0.04,0.0,0.0,0.0,7.06
SW,0.0,2.21,1.53,0.24,0.03,0.0,0.0,0.0,4.010000000000001
WSW,0.0,1.76,0.67,0.1,0.02,0.0,0.0,0.0,2.5500000000000003
W,0.0,2.13,0.71,0.22,0.05,0.01,0.0,0.0,3.1199999999999997
WNW,0.0,2.48,0.66,0.29,0.09,0.01,0.0,0.0,3.53
NW,0.0,3.31,1.35,0.62,0.13,0.01,0.0,0.0,5.42
NNW,0.0,3.95,2.37,1.0,0.14,0.01,0.0,0.0,7.47
N,0.0,4.95,3.08,0.73,0.06,0.0,0.0,0.0,8.820000000000002
Total,2.63,56.62,31.699999999999996,8.03,0.9500000000000002,0.060000000000000005,0.0,0.0,99.99000000000001
