direction_bin,0-0.1,0.1-0.2,0.2-0.4,0.4-0.6,0.6-1,1-1.5,1.5-2,>2,Total
calm,1.96,0.67,0.0,0.0,0.0,0.0,0.0,0.0,2.63
NNE,0.03,1.08,2.18,1.13,1.56,0.56,0.06,0.01,6.61
NE,0.02,0.8,1.86,0.8,0.82,0.24,0.02,0.0,4.5600000000000005
ENE,0.01,0.65,1.76,0.87,0.81,0.19,0.01,0.0,4.3
E,0.01,0.6,2.03,1.19,1.11,0.23,0.02,0.0,5.1899999999999995
ESE,0.01,0.44,1.7,1.24,1.48,0.43,0.05,0.0,5.349999999999999
SE,0.01,0.46,1.64,1.37,2.15,0.94,0.13,0.02,6.72
SSE,0.02,0.55,1.85,1.78,3.83,2.5,0.5,0.08,11.110000000000001
S,0.01,0.39,1.58,1.6,3.84,3.19,0.8,0.12,11.53
SSW,0.0,0.2,0.98,0.99,2.45,1.95,0.43,0.05,7.05
SW,0.0,0.21,0.79,0.69,1.36,0.78,0.14,0.03,4.0
WSW,0.0,0.21,0.7,0.48,0.74,0.34,0.06,0.02,2.55
W,0.01,0.42,1.0,0.56,0.73,0.31,0.06,0.02,3.11
WNW,0.03,0.65,1.18,0.57,0.66,0.34,0.09,0.02,3.5399999999999996
NW,0.03,0.89,1.63,0.74,1.12,0.78,0.19,0.03,5.410000000000001
NNW,0.02,0.93,1.91,0.98,1.79,1.44,0.35,0.04,7.46
N,0.03,1.18,2.42,1.41,2.28,1.27,0.21,0.02,8.82
Total,2.1999999999999997,10.33,25.21,16.4,26.730000000000004,15.489999999999998,3.12,0.45999999999999996,99.94
