direction_bin,calm,0-2.5,2.5-5,5-7.5,7.5-10,10-12.5,12.5-15,>15,Total
calm,3.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.64
NNE,0.0,3.99,0.88,0.04,0.0,0.0,0.0,0.0,4.91
NE,0.0,6.48,0.48,0.01,0.0,0.0,0.0,0.0,6.970000000000001
ENE,0.0,6.85,0.83,0.02,0.0,0.0,0.0,0.0,7.699999999999999
E,0.0,8.77,3.04,0.12,0.0,0.0,0.0,0.0,11.929999999999998
ESE,0.0,7.12,4.95,0.36,0.01,0.0,0.0,0.0,12.44
SE,0.0,5.25,3.67,0.24,0.01,0.0,0.0,0.0,9.17
SSE,0.0,3.19,3.25,0.51,0.02,0.0,0.0,0.0,6.969999999999999
S,0.0,2.24,2.97,0.81,0.06,0.0,0.0,0.0,6.080000000000001
SSW,0.0,1.36,1.61,0.46,0.04,0.0,0.0,0.0,3.47
SW,0.0,1.23,0.96,0.21,0.02,0.0,0.0,0.0,2.42
WSW,0.0,1.4,0.91,0.18,0.03,0.0,0.0,0.0,2.52
W,0.0,1.91,1.15,0.28,0.06,0.01,0.0,0.0,3.4099999999999997
WNW,0.0,2.98,1.25,0.29,0.05,0.0,0.0,0.0,4.57
NW,0.0,2.98,1.55,0.33,0.02,0.0,0.0,0.0,4.88
NNW,0.0,2.53,2.27,0.52,0.03,0.0,0.0,0.0,5.3500000000000005
N,0.0,2.43,1.05,0.09,0.0,0.0,0.0,0.0,3.5700000000000003
Total,3.64,60.71,30.82,4.47,0.35000000000000003,0.01,0.0,0.0,100.0
