direction_bin,0-0.1,0.1-0.2,0.2-0.4,0.4-0.6,0.6-1,1-1.5,1.5-2,>2,Total
calm,2.96,0.68,0.0,0.0,0.0,0.0,0.0,0.0,3.64
NNE,0.01,0.76,1.68,0.98,1.03,0.39,0.05,0.01,4.909999999999999
NE,0.04,1.52,3.33,1.07,0.78,0.21,0.02,0.0,6.970000000000001
ENE,0.04,1.29,3.18,1.59,1.29,0.29,0.02,0.0,7.699999999999999
E,0.02,1.06,4.18,3.0,2.95,0.68,0.04,0.0,11.93
ESE,0.01,0.61,3.57,3.35,3.9,0.94,0.05,0.0,12.43
SE,0.0,0.37,2.23,2.55,3.21,0.74,0.04,0.0,9.139999999999999
SSE,0.0,0.21,1.27,1.78,2.79,0.85,0.07,0.01,6.9799999999999995
S,0.0,0.13,0.87,1.32,2.56,1.05,0.13,0.01,6.07
SSW,0.0,0.09,0.49,0.65,1.4,0.73,0.1,0.01,3.4699999999999998
SW,0.0,0.1,0.42,0.52,0.93,0.39,0.06,0.01,2.43
WSW,0.0,0.16,0.57,0.61,0.86,0.27,0.05,0.01,2.5299999999999994
W,0.01,0.37,0.89,0.67,0.99,0.38,0.08,0.02,3.4099999999999997
WNW,0.0,0.46,1.51,0.76,1.0,0.6,0.18,0.06,4.569999999999999
NW,0.0,0.3,1.28,0.94,1.21,0.84,0.25,0.05,4.87
NNW,0.0,0.33,1.12,0.83,1.47,1.2,0.34,0.05,5.34
N,0.0,0.29,0.9,0.63,1.02,0.61,0.1,0.01,3.5599999999999996
Total,3.09,8.73,27.489999999999995,21.249999999999996,27.389999999999997,10.17,1.58,0.25,99.95
