direction_bin,calm,0-2.5,2.5-5,5-7.5,7.5-10,10-12.5,12.5-15,>15,Total
calm,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72
NNE,0.0,1.97,1.73,0.35,0.03,0.0,0.0,0.0,4.08
NE,0.0,2.97,1.26,0.13,0.01,0.0,0.0,0.0,4.37
ENE,0.0,5.67,2.99,0.27,0.01,0.0,0.0,0.0,8.94
E,0.0,8.23,5.48,0.83,0.05,0.0,0.0,0.0,14.590000000000002
ESE,0.0,4.84,1.71,0.21,0.02,0.0,0.0,0.0,6.779999999999999
SE,0.0,2.96,2.05,0.49,0.06,0.0,0.0,0.0,5.56
SSE,0.0,2.36,4.06,1.68,0.31,0.03,0.0,0.0,8.44
S,0.0,2.52,5.98,3.35,0.77,0.09,0.0,0.0,12.709999999999999
SSW,0.0,2.07,2.5,0.78,0.09,0.0,0.0,0.0,5.44
SW,0.0,1.98,0.8,0.08,0.01,0.0,0.0,0.0,2.87
WSW,0.0,2.39,0.72,0.11,0.01,0.0,0.0,0.0,3.23
W,0.0,2.76,1.31,0.34,0.1,0.03,0.0,0.0,4.54
WNW,0.0,2.05,1.2,0.44,0.14,0.02,0.0,0.0,3.85
NW,0.0,1.65,1.42,0.62,0.11,0.01,0.0,0.0,3.8099999999999996
NNW,0.0,1.54,1.91,0.77,0.08,0.0,0.0,0.0,4.300000000000001
N,0.0,1.74,2.17,0.73,0.08,0.01,0.0,0.0,4.73
Total,1.72,47.7,37.290000000000006,11.18,1.8800000000000003,0.19,0.0,0.0,99.96000000000001
