direction_bin,0-0.1,0.1-0.2,0.2-0.4,0.4-0.6,0.6-1,1-1.5,1.5-2,>2,Total
calm,1.36,0.36,0.0,0.0,0.0,0.0,0.0,0.0,1.7200000000000002
NNE,0.01,0.26,1.0,0.89,1.34,0.52,0.06,0.01,4.089999999999999
NE,0.01,0.37,1.59,1.07,1.05,0.25,0.03,0.0,4.37
ENE,0.01,0.82,3.42,2.4,1.94,0.33,0.02,0.0,8.94
E,0.06,2.29,4.96,3.38,3.3,0.57,0.04,0.0,14.600000000000001
ESE,0.04,1.55,2.5,1.25,1.13,0.28,0.03,0.0,6.78
SE,0.03,0.67,1.34,1.05,1.63,0.72,0.11,0.01,5.56
SSE,0.01,0.35,0.95,1.18,3.11,2.19,0.55,0.1,8.44
S,0.01,0.27,0.9,1.3,4.17,4.19,1.52,0.36,12.719999999999999
SSW,0.0,0.19,0.61,0.63,1.77,1.65,0.49,0.1,5.4399999999999995
SW,0.0,0.16,0.67,0.5,0.86,0.53,0.11,0.02,2.8499999999999996
WSW,0.0,0.25,0.95,0.68,0.81,0.39,0.11,0.04,3.23
W,0.02,0.53,1.35,0.95,1.14,0.44,0.09,0.02,4.54
WNW,0.01,0.37,1.01,0.78,1.05,0.5,0.12,0.02,3.86
NW,0.0,0.21,0.76,0.65,1.2,0.77,0.18,0.03,3.8000000000000003
NNW,0.0,0.16,0.71,0.74,1.5,0.97,0.2,0.03,4.3100000000000005
N,0.0,0.21,0.81,0.86,1.69,0.95,0.17,0.02,4.709999999999999
Total,1.57,9.020000000000001,23.529999999999998,18.310000000000002,27.69,15.25,3.83,0.76,99.96
