direction_bin,calm,0-2.5,2.5-5,5-7.5,7.5-10,10-12.5,12.5-15,>15,Total
calm,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25
NNE,0.0,3.59,1.1,0.17,0.01,0.0,0.0,0.0,4.869999999999999
NE,0.0,5.62,2.66,0.21,0.02,0.0,0.0,0.0,8.510000000000002
ENE,0.0,5.21,1.65,0.09,0.0,0.0,0.0,0.0,6.949999999999999
E,0.0,3.75,0.71,0.03,0.0,0.0,0.0,0.0,4.49
ESE,0.0,2.68,0.42,0.01,0.0,0.0,0.0,0.0,3.11
SE,0.0,3.07,0.63,0.02,0.0,0.0,0.0,0.0,3.7199999999999998
SSE,0.0,3.77,1.97,0.26,0.01,0.0,0.0,0.0,6.01
S,0.0,4.47,3.72,1.24,0.14,0.0,0.0,0.0,9.57
SSW,0.0,4.73,2.79,0.88,0.1,0.0,0.0,0.0,8.5
SW,0.0,5.09,2.14,0.54,0.06,0.0,0.0,0.0,7.83
WSW,0.0,4.18,0.8,0.13,0.02,0.0,0.0,0.0,5.129999999999999
W,0.0,3.37,0.59,0.16,0.03,0.0,0.0,0.0,4.15
WNW,0.0,2.71,1.21,0.37,0.06,0.0,0.0,0.0,4.35
NW,0.0,2.83,2.77,1.06,0.15,0.01,0.0,0.0,6.82
NNW,0.0,2.55,1.73,0.66,0.08,0.01,0.0,0.0,5.029999999999999
N,0.0,2.63,0.84,0.21,0.01,0.0,0.0,0.0,3.6899999999999995
Total,7.25,60.25000000000001,25.73,6.04,0.69,0.02,0.0,0.0,99.97999999999999
