direction_bin,0-0.1,0.1-0.2,0.2-0.4,0.4-0.6,0.6-1,1-1.5,1.5-2,>2,Total
calm,5.93,1.31,0.01,0.0,0.0,0.0,0.0,0.0,7.25
NNE,0.03,1.04,1.76,0.76,0.93,0.31,0.04,0.01,4.879999999999999
NE,0.03,1.1,2.8,1.94,2.12,0.48,0.04,0.0,8.509999999999998
ENE,0.01,0.71,2.36,1.71,1.76,0.38,0.02,0.0,6.949999999999999
E,0.01,0.46,1.58,1.06,1.12,0.25,0.01,0.0,4.49
ESE,0.0,0.27,1.1,0.72,0.79,0.22,0.02,0.0,3.12
SE,0.0,0.29,1.21,0.87,1.01,0.31,0.03,0.01,3.7299999999999995
SSE,0.01,0.39,1.48,1.27,1.92,0.82,0.11,0.01,6.010000000000001
S,0.02,0.62,1.89,1.57,2.99,2.0,0.44,0.05,9.58
SSW,0.04,0.92,2.08,1.34,2.37,1.39,0.3,0.04,8.48
SW,0.04,1.12,2.3,1.17,1.98,1.03,0.17,0.03,7.84
WSW,0.02,0.86,1.95,0.83,0.93,0.43,0.1,0.03,5.1499999999999995
W,0.01,0.62,1.63,0.71,0.68,0.34,0.12,0.04,4.1499999999999995
WNW,0.01,0.45,1.29,0.64,0.96,0.69,0.24,0.06,4.34
NW,0.01,0.48,1.45,1.01,2.0,1.43,0.36,0.08,6.82
NNW,0.02,0.61,1.37,0.74,1.28,0.83,0.16,0.02,5.03
N,0.02,0.7,1.34,0.53,0.71,0.33,0.05,0.01,3.6899999999999995
Total,6.209999999999999,11.95,27.599999999999998,16.87,23.55,11.24,2.21,0.39,100.02
