time_ms,lat,long,vps_alt,home_dist,x_speed,y_speed,z_speed,h_speed,att_des_yaw,att_act_yaw,att_des_pitch,att_act_pitch,att_des_roll,att_act_roll,bar_alt,bar_pres,bar_cr,bar_temp,gyr_z,gyr_y,gyr_x,imu_z,imu_y,imu_x,RCIN_3,RCIN_8,RCOU_1,RCOU_2,RCOU_3,RCOU_4,RCOU_5,bat_volt,bat_cur,bat_eng-t,bat_cur-t,pwr_v,pwr_v-srv,pwr_flag,battery_charge,battery_voltage,battery_current,vibe_x,vibe_y,vibe_z,windDirection,windSpeed,windStrength
0.0,34.52176,-95.83755,0.05,0.00,-0.04,0.01,-0.06,0.06,119.26,119.26,-1.39,-1.40,-0.89,-0.88,0.03,97862.63,0.28,46.75,0.00041,-0.00082,-0.00150,-9.61691,-0.14906,-0.27172,1514,1383,1100,1007,1007,1007,1007,49.77,0.40,3.79,75.91,5.08,0.09,3.00,99.00,49.77,0.40,0.35022,0.16234,0.60099,SE,1.34,Light
0.1,34.52176,-95.83755,0.05,0.00,-0.04,0.01,-0.06,0.06,119.26,119.26,-1.39,-1.40,-0.89,-0.88,0.03,97862.63,0.28,46.75,0.00041,-0.00082,-0.00150,-9.61691,-0.14906,-0.27172,1514,1383,1100,1007,1007,1007,1007,49.77,0.40,3.79,75.91,5.08,0.09,3.00,99.00,49.77,0.40,0.35022,0.16234,0.60099,SE,1.34,Light
0.2,34.52176,-95.83755,0.05,0.00,-0.04,0.01,-0.06,0.06,119.26,119.26,-1.39,-1.40,-0.89,-0.88,0.03,97862.63,0.28,46.75,0.00041,-0.00082,-0.00150,-9.61691,-0.14906,-0.27172,1514,1383,1100,1007,1007,1007,1007,49.77,0.40,3.79,75.91,5.08,0.09,3.00,99.00,49.77,0.40,0.35022,0.16234,0.60099,SE,1.34,Light
0.3,34.52176,-95.83755,0.05,0.00,-0.04,0.01,-0.06,0.06,119.26,119.26,-1.39,-1.40,-0.89,-0.88,0.03,97862.63,0.28,46.75,0.00041,-0.00082,-0.00150,-9.61691,-0.14906,-0.27172,1514,1383,1100,1007,1007,1007,1007,49.77,0.40,3.79,75.91,5.08,0.09,3.00,99.00,49.77,0.40,0.35022,0.16234,0.60099,SE,1.34,Light
0.4,34.52176,-95.83755,0.05,0.00,-0.04,0.01,-0.06,0.06,119.26,119.26,-1.39,-1.40,-0.89,-0.88,0.03,97862.63,0.28,46.75,0.00041,-0.00082,-0.00150,-9.61691,-0.14906,-0.27172,1514,1383,1100,1007,1007,1007,1007,49.77,0.40,3.79,75.91,5.08,0.09,3.00,99.00,49.77,0.40,0.35022,0.16234,0.60099,SE,1.34,Light
0.5,34.52176,-95.83755,0.05,0.00,-0.04,0.01,-0.06,0.06,119.26,119.26,-1.39,-1.40,-0.89,-0.88,0.03,97862.63,0.28,46.75,0.00041,-0.00082,-0.00150,-9.61691,-0.14906,-0.27172,1514,1383,1100,1007,1007,1007,1007,49.77,0.40,3.79,75.91,5.08,0.09,3.00,99.00,49.77,0.40,0.35022,0.16234,0.60099,SE,1.34,Light
0.6,34.52176,-95.83755,0.05,0.00,-0.04,0.01,-0.06,0.06,119.26,119.26,-1.39,-1.40,-0.89,-0.88,0.03,97862.63,0.28,46.75,0.00041,-0.00082,-0.00150,-9.61691,-0.14906,-0.27172,1514,1383,1100,1007,1007,1007,1007,49.77,0.40,3.79,75.91,5.08,0.09,3.00,99.00,49.77,0.40,0.35022,0.16234,0.60099,SE,1.34,Light
0.7,34.52176,-95.83755,0.05,0.00,-0.04,0.01,-0.06,0.06,119.26,119.26,-1.39,-1.40,-0.89,-0.88,0.03,97862.63,0.28,46.75,0.00041,-0.00082,-0.00150,-9.61691,-0.14906,-0.27172,1514,1383,1100,1007,1007,1007,1007,49.77,0.40,3.79,75.91,5.08,0.09,3.00,99.00,49.77,0.40,0.35022,0.16234,0.60099,SE,1.34,Light
0.8,34.52176,-95.83755,0.05,0.00,-0.04,0.01,-0.06,0.06,119.26,119.26,-1.39,-1.40,-0.89,-0.88,0.03,97862.63,0.28,46.75,0.00041,-0.00082,-0.00150,-9.61691,-0.14906,-0.27172,1514,1383,1100,1007,1007,1007,1007,49.77,0.40,3.79,75.91,5.08,0.09,3.00,99.00,49.77,0.40,0.35022,0.16234,0.60099,SE,1.34,Light
0.9,34.52176,-95.83755,0.05,0.00,-0.04,0.01,-0.06,0.06,119.26,119.26,-1.39,-1.40,-0.89,-0.88,0.03,97862.63,0.28,46.75,0.00041,-0.00082,-0.00150,-9.61691,-0.14906,-0.27172,1514,1383,1100,1007,1007,1007,1007,49.77,0.40,3.79,75.91,5.08,0.09,3.00,99.00,49.77,0.40,0.35022,0.16234,0.60099,SE,1.34,Light
