OSD.flyTime [s],OSD.latitude,OSD.longitude,OSD.altitude [m],OSD.xSpeed [m/s],MPH to m/s,OSD.ySpeed [m/s],OSD.zSpeed [m/s],OSD.pitch,OSD.roll,OSD.yaw,OSD.hSpeed [m/s],RC.aileron,RC.elevator,RC.throttle,RC.rudder,OSD.vpsHeight [m],ft to m,HOME.heightLimit [ft],HOME.distance [ft],BATTERY.chargeLevel,BATTERY.voltage [V],BATTERY.current [A],WEATHER.windDirection,WEATHER.windSpeed [m/s],WEATHER.windStrength
0,35.18360308,-97.44557378,1128,0,0.44704,0,0,-1.2,1.7,132.5,0,1024,1024,1024,1024,0.984252,3.28084,322.834656,0.984252,97,8.218,0.902,NW,0.089408,Calm
0.1,35.18360309,-97.44557379,1128,0,,0,0,-1.2,1.7,132.5,0,1024,1024,1024,1024,0.984252,,322.834656,0.984252,97,8.218,0.902,NW,0.089408,Calm
0.2,35.18360308,-97.44557379,1128,0,,0,0,-1.2,1.7,132.5,0,1024,1024,1024,1024,0.984252,,322.834656,0.984252,97,8.218,0.902,NW,0.089408,Calm
0.3,35.18360306,-97.44557381,1128,0,,0,0,-1.2,1.7,132.5,0,1024,1024,1024,1024,0.984252,,322.834656,0.984252,97,8.218,0.902,NW,0.089408,Calm
0.4,35.18360308,-97.44557382,1128,0,,0,0,-1.2,1.7,132.3,0,1024,1024,1024,1024,0.984252,,322.834656,0.984252,97,8.219,0.894,NW,0.089408,Calm
0.5,35.18360307,-97.44557384,1128,0,,0,0,-1.2,1.7,132.2,0,1024,1024,1024,1024,0.984252,,322.834656,0.984252,97,8.219,0.894,NW,0.089408,Calm
0.6,35.18360311,-97.44557379,1128,0,,0,0,-1.2,1.7,132.2,0,1024,1024,1024,1024,0.984252,,322.834656,0.984252,97,8.219,0.894,NW,0.089408,Calm
0.7,35.18360318,-97.44557368,1128,0,,0,0,-1.2,1.7,132.2,0,1024,1024,1024,1024,0.984252,,322.834656,0.984252,97,8.219,0.894,NW,0.089408,Calm
0.8,35.18360321,-97.44557365,1128,0,,0,0,-1.2,1.7,132.2,0,1024,1024,1024,1024,0.984252,,322.834656,0.984252,97,8.219,0.894,W,0.089408,Calm
0.9,35.18360311,-97.44557376,1128,0,,0,0,-1.2,1.7,132.2,0,1024,1024,1024,1024,0.984252,,322.834656,0.984252,97,8.219,0.894,W,0.089408,Calm
1,35.18360311,-97.44557373,1128,0,,0,0,-1.2,1.7,132.2,0,1024,1024,1024,1024,0.984252,,322.834656,0.984252,97,8.219,0.894,W,0.089408,Calm
1.1,35.18360309,-97.44557378,1128,0,,0,0,-1.2,1.7,132.2,0,1024,1024,1024,1024,0.984252,,322.834656,0.984252,97,8.219,0.894,W,0.089408,Calm
1.2,35.18360309,-97.44557378,1128,0,,0,0,-1.2,1.7,132.2,0,1024,1024,1024,1024,0.984252,,322.834656,0.984252,97,8.219,0.894,NW,0.089408,Calm
1.3,35.18360308,-97.4455738,1128,0,,0,0,-1.2,1.7,132.2,0,1024,1024,1024,1024,0.984252,,322.834656,0.984252,97,8.219,0.894,NW,0.089408,Calm
1.4,35.18360308,-97.4455738,1128,0,,0,0,-1.2,1.7,132.2,0,1024,1024,1024,1024,0.984252,,322.834656,0.984252,97,8.07,0.894,NW,0.089408,Calm
1.5,35.18360308,-97.44557379,1128,0,,0,0,-1.2,1.7,132.2,0,1024,1024,1024,1024,0.984252,,322.834656,0.984252,97,8.07,0.894,NW,0.089408,Calm
1.6,35.18360308,-97.44557379,1128,0,,0,0,-1.2,1.7,132.2,0,1024,1024,1024,1024,0.984252,,322.834656,0.984252,97,8.07,0.894,NW,0.089408,Calm
1.7,35.18360308,-97.4455738,1128,0,,0,0,-1.2,1.7,132.2,0,1024,1024,1024,1024,0.984252,,322.834656,0.984252,97,8.07,0.894,NW,0.089408,Calm
1.8,35.18360308,-97.4455738,1128,0,,0,0,-1.2,1.7,132.2,0,1024,1024,1024,1024,0.984252,,322.834656,0.984252,97,8.07,0.894,NW,0.089408,Calm
1.9,35.18360309,-97.44557379,1128,0,,0,0,-1.3,1.7,132.2,0,1024,1024,1024,1024,0.984252,,322.834656,0.984252,97,8.07,0.894,NW,0.089408,Calm
2,35.18360308,-97.44557379,1128,0,,0,0,-1.3,1.6,131.9,0,1024,1024,1024,1024,0.984252,,322.834656,0.984252,97,8.07,0.894,NW,0.089408,Calm
2.1,35.18360305,-97.44557378,1128,0,,0,0,-1.2,-0.2,131.1,0,1024,1024,1024,1024,0.984252,,322.834656,0.984252,97,8.07,0.894,NW,0.089408,Calm
2.2,35.183603,-97.44557375,1128,0,,0,-0.200000332,-2.2,-2.4,131,0,1024,1024,1024,1024,0.984252,,322.834656,0.984252,97,8.07,0.894,NW,0.089408,Calm
2.3,35.18360294,-97.44557361,1128,0,,0.100000166,-0.400000663,-0.1,-1.6,132.2,0.100000166,1024,1024,1024,1024,0.984252,,322.834656,0.984252,97,8.07,0.894,NW,0.089408,Calm
2.4,35.1836029,-97.4455734,1128,0,,0.200000332,-0.500000829,2,0.9,132.6,0.200000332,1024,1024,1024,1024,0.984252,,322.834656,1.64042,97,8.07,2.73,NW,0.089408,Calm
2.5,35.18360286,-97.44557315,1128,0,,0.200000332,-0.500000829,2.6,2.4,132.2,0.200000332,1024,1024,1024,1024,1.968504,,322.834656,1.64042,97,8.07,2.73,NW,0.089408,Calm
2.6,35.18360281,-97.44557298,1129,0,,0.100000166,-0.500000829,2.3,1.5,132,0.100000166,1024,1024,1024,1024,1.968504,,322.834656,1.64042,97,8.07,2.73,NW,0.089408,Calm
2.7,35.18360274,-97.44557275,1129,0,,0.100000166,-0.500000829,2.4,0.4,132.2,0.100000166,1024,1024,1024,1024,2.952756,,322.834656,1.64042,97,8.07,2.73,NW,0.0983488,Calm
2.8,35.18360268,-97.44557254,1129,0,,0.100000166,-0.500000829,3.1,1.4,132,0.100000166,1024,1024,1024,1024,2.952756,,322.834656,1.64042,97,8.07,2.73,W,0.0983488,Calm
2.9,35.18360263,-97.44557239,1129,0,,0.100000166,-0.500000829,3.6,2.1,132.1,0.100000166,1024,1024,1024,1024,4.265092,,322.834656,1.64042,97,8.07,2.73,W,0.0983488,Calm
3,35.18360256,-97.44557223,1129,0,,0.100000166,-0.500000829,3.4,1.5,132.2,0.100000166,1024,1024,1024,1024,4.265092,,322.834656,1.64042,97,8.07,2.73,NW,0.1966976,Calm
3.1,35.1836025,-97.44557204,1129,0,,0.100000166,-0.500000829,3.5,1,132.1,0.100000166,1024,1024,1024,1024,5.249344,,322.834656,1.64042,97,8.07,2.73,NW,0.1966976,Calm
3.2,35.18360244,-97.44557191,1129,0,,0.100000166,-0.500000829,3.8,1.4,132,0.100000166,1024,1024,1024,1024,5.249344,,322.834656,1.64042,97,8.07,2.73,NW,0.2995168,Calm
3.3,35.18360242,-97.44557185,1129,0,,0,-0.500000829,4.1,1,132.1,0,1024,1024,1024,1024,6.233596,,322.834656,1.968504,97,8.07,2.73,NW,0.2995168,Calm
3.4,35.18360237,-97.44557176,1130,0,,0,-0.500000829,3.9,1.3,132.1,0,1024,1024,1024,1024,6.233596,,322.834656,1.968504,97,7.964,5.359,NW,0.2995168,Calm
3.5,35.18360217,-97.44557169,1130,0,,0,-0.500000829,4,0.8,132.2,0,1024,1024,1024,1024,7.217848,,322.834656,1.968504,97,7.964,5.359,NW,0.3978656,Calm
3.6,35.18360212,-97.44557163,1130,0,,0,-0.500000829,3.8,0.5,132.2,0,1024,1024,1024,1024,7.217848,,322.834656,2.296588,97,7.964,5.359,NW,0.3978656,Calm
3.7,35.18360218,-97.44557161,1130,0,,0,-0.400000663,4.3,0.3,132.3,0,1024,1024,1024,1024,8.530184,,322.834656,2.296588,97,7.964,5.359,NW,0.4962144,Calm
3.8,35.18360215,-97.44557155,1130,0,,0,-0.400000663,4.3,0.7,132.3,0,1024,1024,1024,1024,8.530184,,322.834656,2.296588,97,7.964,5.359,NW,0.5990336,Calm
3.9,35.18360224,-97.44557147,1130,0,,0,-0.500000829,4.2,1.3,132.3,0,1024,1024,1024,1024,9.514436,,322.834656,2.296588,97,7.964,5.359,NW,0.5990336,Calm
4,35.18360224,-97.44557144,1131,0,,0,-0.500000829,3.9,1.6,132.3,0,1024,1024,1024,1024,9.514436,,322.834656,2.296588,97,7.964,5.359,NW,0.6973824,Calm
4.1,35.18360217,-97.4455714,1131,0,,0,-0.500000829,3.8,1.1,132.3,0,1024,1024,1024,1024,10.498688,,322.834656,2.296588,97,7.964,5.359,NW,0.6973824,Calm
4.2,35.1836022,-97.44557145,1131,0,,0,-0.500000829,3.7,0.3,132.2,0,1024,1024,1024,1024,10.498688,,322.834656,2.296588,97,7.964,5.359,NW,0.7957312,Calm
4.3,35.18360223,-97.44557146,1131,0,,0,-0.400000663,3.6,1.3,132.1,0,1024,1024,1024,1024,11.811024,,322.834656,2.296588,97,7.964,5.359,NW,0.7957312,Calm
4.4,35.18360228,-97.44557148,1131,0,,0,-0.400000663,2.8,2,132,0,1024,1024,1024,1024,11.811024,,322.834656,2.296588,97,7.964,5.359,NW,0.8985504,Calm
4.5,35.18360238,-97.44557147,1131,0,,0,-0.200000332,4,1.4,132,0,1024,1024,1024,1024,12.795276,,322.834656,2.296588,97,7.964,5.359,NW,0.8985504,Calm
4.6,35.18360241,-97.44557152,1131,0,,0,0,1.6,2.9,132.2,0,1024,1024,1024,1024,12.795276,,322.834656,2.296588,97,7.964,5.359,NW,0.9968992,Calm
4.7,35.18360239,-97.4455716,1131,0,,0,0,1,-0.4,132.8,0,1024,1024,1024,1024,11.811024,,322.834656,1.968504,97,7.964,5.359,NW,0.9968992,Calm
4.8,35.18360233,-97.44557167,1132,0,,0,0,3.7,-3.1,132.3,0,1024,1024,1024,1024,12.795276,,322.834656,1.968504,97,7.952,5.359,NW,0.9968992,Calm
4.9,35.18360233,-97.44557166,1132,0,,0,0,5,-1,132.1,0,1024,1024,1024,1024,11.811024,,322.834656,1.968504,97,7.952,5.359,NW,1.0997184,Calm
5,35.18360234,-97.44557159,1131,0,,0,0,3.4,2.4,132.2,0,1024,1024,1024,1024,11.811024,,322.834656,1.968504,97,7.952,5.359,NW,1.0997184,Calm
5.1,35.18360237,-97.44557157,1131,0,,0,0,3.3,3.1,132.3,0,1024,1024,1024,1024,11.811024,,322.834656,1.968504,97,7.952,5.359,NW,1.1980672,Calm
5.2,35.18360233,-97.44557154,1131,0,,0,0,3.7,1.6,132.4,0,1024,1024,1024,1024,11.811024,,322.834656,2.296588,97,7.952,5.359,NW,1.1980672,Calm
5.3,35.18360231,-97.44557153,1131,0,,0,0,4.7,0.6,132.3,0,1024,1024,1024,1024,12.795276,,322.834656,2.296588,97,7.952,5.359,NW,1.296416,Calm
5.4,35.18360228,-97.44557152,1131,0,,0,0,5.5,0.2,132.2,0,1024,1024,1024,1024,11.811024,,322.834656,2.296588,97,7.952,5.008,NW,1.296416,Calm
