OSD.flyTime [s],OSD.latitude,OSD.longitude,OSD.altitude [m],Convert MPH to m/s,OSD.xSpeed [m/s],OSD.ySpeed [m/s],OSD.zSpeed [m/s],OSD.roll,OSD.pitch,OSD.yaw,OSD.hSpeed [m/s],RC.aileron,RC.elevator,RC.throttle,RC.rudder,Convert ft to m,OSD.vpsHeight [m],HOME.distance [m],BATTERY.chargeLevel,BATTERY.voltage [V],BATTERY.current [A],WEATHER.windDirection,WEATHER.windSpeed [m/s],WEATHER.windStrength
0,32.82455177,-95.30655847,420,0.44704,0,0,0,-0.3,-0.5,97.8,0,1024,1024,1024,1024,3.28084,0.984252,0,93,8.109,0.913,N,0.0983488,Calm
0.1,32.82455178,-95.3065585,420,,0,0,0,-0.3,-0.5,97.8,0,1024,1024,1024,1024,,0.984252,0,93,8.109,0.913,N,0.0983488,Calm
0.2,32.82455179,-95.30655849,420,,0,0,0,-0.3,-0.5,97.8,0,1024,1024,1024,1024,,0.984252,0,93,8.109,0.913,N,0.0983488,Calm
0.3,32.8245518,-95.30655847,420,,0,0,0,-0.3,-0.5,97.8,0,1024,1024,1024,1024,,0.984252,0,93,8.109,0.913,N,0.0983488,Calm
0.4,32.82455181,-95.30655846,420,,0,0,0,-0.2,-0.5,97.8,0,1024,1024,1024,1024,,0.984252,0,93,8.109,0.913,N,0.0983488,Calm
0.5,32.82455181,-95.30655845,420,,0,0,0,-0.3,-0.5,97.8,0,1024,1024,1024,1024,,0.984252,0,93,8.029,0.913,N,0.0983488,Calm
0.6,32.82455181,-95.30655844,420,,0,0,0,-0.3,-0.5,97.8,0,1024,1024,1024,1024,,0.984252,0,93,8.029,0.913,N,0.0983488,Calm
0.7,32.8245518,-95.30655845,420,,0,0,0,-0.3,-0.5,97.8,0,1024,1024,1024,1024,,0.984252,0,93,8.029,0.913,N,0.0983488,Calm
0.8,32.82455176,-95.30655852,420,,0,0,0,-0.3,-0.5,97.8,0,1024,1024,1024,1024,,0.984252,0,93,8.029,0.913,N,0.0983488,Calm
0.9,32.82455181,-95.30655847,420,,0,0,0,-0.2,-0.5,97.8,0,1024,1024,1024,1024,,0.984252,0,93,8.029,0.913,N,0.0983488,Calm
1,32.8245518,-95.30655848,420,,0,0,0,-0.3,-0.5,97.8,0,1024,1024,1024,1024,,0.984252,0,93,8.029,0.913,N,0.0983488,Calm
1.1,32.82455181,-95.30655844,420,,0,0,0,-0.3,-0.5,97.8,0,1024,1024,1024,1024,,0.984252,0,93,8.029,0.913,N,0.0983488,Calm
1.2,32.82455181,-95.30655844,420,,0,0,0,-0.2,-0.5,97.8,0,1024,1024,1024,1024,,0.984252,0,93,8.029,0.913,N,0.0983488,Calm
1.3,32.82455183,-95.30655844,420,,0,0,0,-0.2,-0.5,97.8,0,1024,1024,1024,1024,,0.984252,0,93,8.029,0.913,N,0.0983488,Calm
1.4,32.82455182,-95.30655844,420,,0,0,0,-0.3,-0.5,97.8,0,1024,1024,1024,1024,,0.984252,0,93,8.029,0.913,N,0.0983488,Calm
1.5,32.82455181,-95.30655844,420,,0,0,0,-0.3,-0.5,97.8,0,1024,1024,1024,1024,,0.984252,0,93,8.029,2.273,N,0.0983488,Calm
