Filter,OSD.flyTime [s],OSD.latitude,OSD.longitude,OSD.altitude [m],Convert MPH to m/s,OSD.xSpeed [m/s],OSD.ySpeed [m/s],OSD.zSpeed [m/s],OSD.roll,OSD.pitch,OSD.yaw,OSD.hSpeed [m/s],RC.elevator,RC.throttle,RC.rudder,RC.aileron,Convert ft to m,OSD.vpsHeight [m],HOME.distance [m],BATTERY.chargeLevel,BATTERY.voltage [V],BATTERY.current [A],WEATHER.windDirection,WEATHER.windSpeed [m/s],WEATHER.windStrength,
0,0,32.82455606,-95.30655262,420,0.44704,0,0,0,0,-0.3,89.9,0,1024,1024,1024,1024,3.28084,0.984252,4.112768,95,8.147,0.882,N,0.0983488,Calm,
1,0.1,32.82455605,-95.30655261,420,,0,0,0,0,-0.3,89.9,0,1024,1024,1024,1024,,0.984252,4.112768,95,8.147,0.882,N,0.0983488,Calm,
2,0.2,32.82455606,-95.30655262,420,,0,0,0,0,-0.3,89.9,0,1024,1024,1024,1024,,0.984252,4.112768,95,8.147,0.882,N,0.0983488,Calm,
3,0.3,32.82455604,-95.30655258,420,,0,0,0,0,-0.3,89.9,0,1024,1024,1024,1024,,0.984252,4.112768,95,8.147,0.882,N,0.0983488,Calm,
4,0.4,32.82455604,-95.3065526,420,,0,0,0,0,-0.3,89.9,0,1024,1024,1024,1024,,0.984252,4.112768,95,8.147,0.882,N,0.0983488,Calm,
0,0.5,32.82455604,-95.30655261,420,,0,0,0,0,-0.3,90,0,1024,1024,1024,1024,,0.984252,4.112768,95,8.147,0.882,N,0.0983488,Calm,
1,0.6,32.82455606,-95.30655259,420,,0,0,0,0,-0.3,90,0,1024,1024,1024,1024,,0.984252,4.112768,95,8.147,0.882,N,0.0983488,Calm,
2,0.7,32.82455607,-95.30655259,420,,0,0,0,0,-0.3,90,0,1024,1024,1024,1024,,0.984252,4.112768,95,8.147,0.882,N,0.0983488,Calm,
3,0.8,32.82455605,-95.30655259,420,,0,0,0,0,-0.3,90,0,1024,1024,1024,1024,,0.984252,4.112768,95,8.147,0.882,N,0.0983488,Calm,
4,0.9,32.82455603,-95.30655259,420,,0,0,0,0,-0.3,90,0,1024,1024,1024,1024,,0.984252,4.112768,95,8.147,0.882,N,0.0983488,Calm,
0,1,32.82455602,-95.3065526,420,,0,0,0,0,-0.3,90,0,1024,1024,1024,1024,,0.984252,4.112768,95,8.018,0.882,N,0.0983488,Calm,
1,1.1,32.82455602,-95.3065526,420,,0,0,0,0,-0.3,90,0,1024,1024,1024,1024,,0.984252,4.112768,95,8.018,0.882,N,0.0983488,Calm,
2,1.2,32.82455601,-95.3065526,420,,0,0,0,0,-0.4,90,0,1024,1024,1024,1024,,0.984252,4.112768,95,8.018,0.882,N,0.0983488,Calm,
