               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091318,             0.04191,            0.026903,             0.29212,             0.58261,             0.29684,            0.093947,            0.058667,             0.03753,            0.022976,            0.070099,           0.0033224,           0.0033224
                   1,             0.06523,            0.034162,            0.025111,             0.45934,             0.66608,             0.50326,             0.20545,            0.045492,            0.035421,            0.021678,            0.040011,           0.0065678,           0.0065678
                   2,             0.06076,            0.032755,            0.023268,             0.63867,             0.71932,             0.67881,             0.28263,             0.04646,             0.03388,            0.018101,            0.009835,           0.0097253,           0.0097253
                   3,            0.055796,            0.031322,            0.020786,             0.65384,             0.75899,              0.7471,              0.3453,            0.041688,            0.033031,            0.017231,            0.009604,            0.009604,            0.009604
                   4,             0.05201,            0.030252,            0.019171,             0.71824,             0.75897,             0.77116,             0.35832,            0.040515,            0.032651,             0.01555,            0.009604,            0.009604,            0.009604
                   5,            0.049934,            0.030121,            0.017634,             0.70894,             0.76097,             0.78673,             0.39008,            0.038178,            0.032486,            0.015171,            0.009472,            0.009472,            0.009472
                   6,            0.047492,            0.029456,            0.017254,             0.75046,             0.78901,              0.8148,              0.4234,            0.035153,            0.031581,            0.014298,             0.00934,             0.00934,             0.00934
                   7,            0.045777,            0.029085,            0.016447,             0.73515,             0.78596,             0.82322,             0.43306,            0.035992,            0.032137,            0.015023,            0.009208,            0.009208,            0.009208
                   8,             0.04498,             0.02872,            0.015616,             0.78217,              0.7926,             0.84204,             0.45735,            0.035075,             0.03083,            0.012774,            0.009076,            0.009076,            0.009076
                   9,            0.044633,             0.02821,            0.014438,             0.79353,             0.79799,             0.85059,             0.44742,            0.034962,            0.031225,            0.012484,            0.008944,            0.008944,            0.008944
                  10,            0.044246,            0.028027,             0.01467,             0.82821,             0.82079,             0.87389,             0.48941,            0.033257,             0.03015,            0.011164,            0.008812,            0.008812,            0.008812
                  11,            0.042569,            0.027869,            0.013727,             0.82254,              0.8108,             0.87189,             0.47822,            0.032744,            0.030065,            0.011803,             0.00868,             0.00868,             0.00868
                  12,            0.042199,            0.027619,            0.013751,             0.82556,             0.82634,             0.88471,             0.48577,            0.032339,            0.029936,            0.011464,            0.008548,            0.008548,            0.008548
                  13,            0.041971,            0.027236,            0.012947,             0.84462,              0.8333,             0.89675,             0.50501,            0.031792,            0.029377,            0.010234,            0.008416,            0.008416,            0.008416
                  14,            0.041574,            0.027583,            0.012191,             0.85426,             0.83542,             0.89659,             0.51451,            0.031382,            0.029411,            0.010086,            0.008284,            0.008284,            0.008284
                  15,            0.040361,            0.027181,            0.011301,             0.84934,              0.8258,             0.89882,             0.51581,            0.031841,            0.029123,            0.010063,            0.008152,            0.008152,            0.008152
                  16,            0.040594,             0.02705,            0.011508,             0.87682,             0.85421,             0.91379,             0.53082,            0.030617,            0.028748,           0.0089044,             0.00802,             0.00802,             0.00802
                  17,            0.040306,            0.027315,            0.011712,             0.88267,             0.86166,             0.91577,             0.53753,            0.030182,            0.028573,           0.0090501,            0.007888,            0.007888,            0.007888
                  18,              0.0401,             0.02666,            0.011277,             0.87291,              0.8522,             0.91343,              0.5156,            0.030999,            0.028944,           0.0091909,            0.007756,            0.007756,            0.007756
                  19,             0.03921,            0.026554,            0.010171,             0.85569,             0.84515,             0.89979,             0.52503,            0.030976,            0.028587,            0.010251,            0.007624,            0.007624,            0.007624
                  20,            0.039159,            0.026446,            0.010825,             0.89149,              0.8655,             0.92771,             0.55117,            0.029575,             0.02819,           0.0083992,            0.007492,            0.007492,            0.007492
                  21,            0.039422,            0.026538,           0.0098131,              0.8836,             0.86532,             0.91677,             0.54389,            0.029923,            0.029111,           0.0093934,             0.00736,             0.00736,             0.00736
                  22,            0.038309,            0.026241,            0.010108,             0.90146,             0.87542,              0.9333,             0.56084,             0.02871,            0.027784,           0.0070715,            0.007228,            0.007228,            0.007228
                  23,            0.038343,            0.025962,           0.0096673,             0.88598,             0.87555,             0.92564,             0.54846,            0.029536,            0.028045,            0.007947,            0.007096,            0.007096,            0.007096
                  24,            0.037846,            0.025776,           0.0094863,             0.91245,             0.88453,              0.9402,             0.58097,            0.028158,            0.027413,           0.0070064,            0.006964,            0.006964,            0.006964
                  25,            0.037723,             0.02578,           0.0096532,              0.8909,             0.86517,             0.92554,             0.55392,            0.028668,            0.027652,           0.0077493,            0.006832,            0.006832,            0.006832
                  26,            0.037778,            0.025811,           0.0092415,             0.89968,             0.87169,             0.92974,             0.55328,            0.029459,            0.027917,           0.0073968,              0.0067,              0.0067,              0.0067
                  27,            0.037729,            0.025902,           0.0088814,             0.91039,             0.88551,               0.939,             0.57125,            0.028541,            0.027416,           0.0062929,            0.006568,            0.006568,            0.006568
                  28,            0.036646,            0.025687,           0.0081716,             0.92258,             0.89418,              0.9445,             0.58802,            0.027737,             0.02714,           0.0052656,            0.006436,            0.006436,            0.006436
                  29,            0.036892,            0.025868,           0.0081965,             0.89969,             0.87473,             0.93287,             0.57353,            0.027869,            0.027238,           0.0072011,            0.006304,            0.006304,            0.006304
                  30,            0.036162,            0.025081,           0.0076716,             0.92125,             0.89593,             0.94548,             0.59014,            0.027817,            0.026917,           0.0054664,            0.006172,            0.006172,            0.006172
                  31,            0.036514,             0.02549,           0.0080379,             0.92212,             0.89656,             0.94805,             0.59147,            0.027231,            0.026792,           0.0049828,             0.00604,             0.00604,             0.00604
                  32,            0.035887,             0.02514,           0.0075951,             0.91908,             0.88636,             0.94742,             0.59407,            0.027009,            0.026673,           0.0059477,            0.005908,            0.005908,            0.005908
