               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13037,            0.055978,             0.02963,          7.2438e-05,            0.003135,          3.6618e-05,          7.4553e-06,             0.12078,             0.05158,             0.02787,             0.09802,             0.00022,             0.00022
                   1,             0.11981,            0.063282,            0.027693,           0.0059227,             0.24976,           0.0053162,           0.0011131,             0.10718,            0.054831,            0.027075,             0.09595,          0.00044955,          0.00044955
                   2,             0.10635,            0.058254,            0.027284,            0.074146,              0.1515,            0.031437,           0.0058271,            0.095502,            0.047059,            0.027553,            0.093879,          0.00067865,          0.00067865
                   3,            0.089824,            0.054283,            0.026892,             0.17702,             0.25614,             0.11749,            0.025774,            0.082908,            0.044012,            0.026614,            0.091807,           0.0009073,           0.0009073
                   4,            0.078822,            0.051932,            0.026463,             0.23713,             0.34348,             0.19461,            0.057848,            0.073923,            0.043567,            0.026234,            0.089735,           0.0011355,           0.0011355
                   5,            0.071438,            0.051258,            0.026163,             0.26512,             0.48715,             0.25033,            0.074455,            0.062429,            0.042053,            0.026019,            0.087663,           0.0013632,           0.0013632
                   6,            0.067768,            0.049194,            0.026038,             0.32494,              0.5158,             0.31085,             0.11719,            0.055328,            0.040548,            0.025897,             0.08559,           0.0015905,           0.0015905
                   7,            0.065599,            0.049782,            0.025998,             0.39007,             0.60587,             0.37176,              0.1182,            0.057317,             0.03951,            0.025795,            0.083517,           0.0018173,           0.0018173
                   8,            0.064854,            0.048326,            0.025823,             0.33003,              0.5487,             0.32285,              0.1206,            0.054368,            0.038979,            0.025716,            0.081444,           0.0020437,           0.0020437
                   9,            0.063712,            0.047903,             0.02569,             0.32762,             0.60713,             0.32749,             0.10865,            0.053054,            0.039208,            0.025732,             0.07937,           0.0022696,           0.0022696
                  10,            0.063106,            0.046954,            0.025749,             0.31543,             0.56797,             0.32752,             0.12398,            0.054829,            0.038223,            0.025819,            0.077295,           0.0024951,           0.0024951
                  11,            0.062299,            0.046003,             0.02564,             0.41858,             0.66276,             0.39677,             0.13231,             0.05372,            0.037907,            0.025699,             0.07522,           0.0027201,           0.0027201
                  12,            0.062236,            0.045628,            0.025551,             0.32072,             0.61356,             0.34849,             0.13099,            0.052617,            0.037888,            0.025705,            0.073145,           0.0029446,           0.0029446
                  13,            0.061649,            0.046083,            0.025373,             0.43579,             0.72872,             0.43481,             0.15134,            0.051156,            0.037594,            0.025618,            0.071069,           0.0031687,           0.0031687
                  14,            0.060568,            0.045484,            0.025191,             0.38792,              0.5828,             0.43038,             0.16459,            0.050527,             0.03723,            0.025481,            0.068992,           0.0033923,           0.0033923
                  15,            0.059593,             0.04526,            0.024996,               0.323,             0.58068,             0.40746,             0.15885,            0.046431,            0.038107,             0.02547,            0.066916,           0.0036155,           0.0036155
                  16,            0.059411,            0.044589,            0.024712,             0.45099,             0.77112,             0.52207,             0.22454,             0.04752,            0.036793,            0.025433,            0.064838,           0.0038382,           0.0038382
                  17,            0.058157,            0.043748,            0.024225,             0.44545,             0.77902,             0.52628,             0.23154,            0.044465,            0.036997,            0.025595,             0.06276,           0.0040605,           0.0040605
                  18,            0.057972,            0.044669,            0.023602,             0.45517,             0.79827,             0.54777,             0.22015,            0.047173,            0.036952,            0.025336,            0.060682,           0.0042823,           0.0042823
                  19,            0.057492,            0.043775,            0.022558,             0.45639,             0.71193,             0.52911,             0.23262,            0.042262,            0.036438,            0.025764,            0.058604,           0.0045037,           0.0045037
                  20,            0.056879,            0.043386,            0.021529,             0.45056,             0.71288,             0.52006,             0.20356,            0.047124,            0.036056,            0.026643,            0.056525,           0.0047246,           0.0047246
                  21,            0.056001,            0.041863,            0.020713,             0.41847,             0.63677,              0.5139,              0.2128,            0.046244,            0.036884,            0.027036,            0.054445,            0.004945,            0.004945
                  22,            0.055188,            0.043004,            0.019477,              0.4869,             0.71416,             0.54446,             0.23454,            0.045593,            0.036027,            0.027705,            0.052365,            0.005165,            0.005165
                  23,            0.055088,            0.042448,            0.018372,             0.40269,             0.62073,             0.46954,             0.19321,            0.044246,            0.036545,            0.030432,            0.050285,           0.0053845,           0.0053845
                  24,            0.055451,            0.042559,            0.017771,             0.48976,             0.51882,             0.49016,             0.21398,            0.042164,            0.037232,            0.031588,            0.048204,           0.0056036,           0.0056036
                  25,            0.053685,            0.042235,            0.017046,             0.46585,             0.53917,             0.45735,             0.19031,            0.043455,            0.036757,            0.034001,            0.046122,           0.0058222,           0.0058222
                  26,            0.053659,            0.042333,            0.016837,             0.38968,             0.67195,             0.46287,             0.20761,            0.044544,            0.035957,             0.03152,             0.04404,           0.0060404,           0.0060404
                  27,            0.053258,            0.041033,               0.016,             0.38944,              0.6767,             0.48625,             0.22854,            0.043913,            0.037531,            0.033075,            0.041958,           0.0062581,           0.0062581
                  28,            0.053081,            0.042316,            0.015614,             0.43057,              0.6422,             0.44136,             0.18324,            0.043253,            0.035228,             0.03433,            0.039875,           0.0064754,           0.0064754
                  29,            0.052128,            0.041266,            0.014307,             0.42571,             0.54316,             0.44777,             0.18724,            0.043025,            0.036781,            0.035931,            0.037792,           0.0066922,           0.0066922
                  30,            0.050801,            0.041246,            0.014258,             0.44884,             0.60877,             0.48208,             0.21321,            0.040981,            0.036673,            0.035622,            0.035709,           0.0069085,           0.0069085
                  31,            0.050772,            0.040282,            0.013539,             0.43205,             0.52006,             0.41587,             0.17751,             0.04637,            0.036347,            0.042372,            0.033624,           0.0071244,           0.0071244
                  32,            0.049711,            0.040509,            0.013488,             0.45111,             0.49649,             0.43014,             0.17572,            0.042163,            0.037984,            0.036102,             0.03154,           0.0073399,           0.0073399
                  33,            0.050639,             0.04097,             0.01263,             0.47207,             0.52982,             0.42073,             0.16434,            0.046686,            0.037641,            0.039612,            0.029455,           0.0075548,           0.0075548
                  34,            0.049796,            0.040881,            0.012483,             0.45991,             0.64023,             0.47132,             0.21184,            0.042857,             0.03601,            0.036465,            0.027369,           0.0077694,           0.0077694
                  35,            0.050509,            0.039887,            0.012465,             0.48224,             0.59168,             0.50587,               0.233,             0.04124,            0.036549,            0.040547,            0.025283,           0.0079834,           0.0079834
                  36,            0.049207,            0.039637,            0.012146,             0.43458,             0.58959,             0.41219,             0.18624,            0.040851,            0.036282,            0.042104,            0.023197,           0.0081971,           0.0081971
                  37,            0.048514,            0.039768,            0.010983,             0.42294,             0.62261,             0.44563,             0.18381,            0.041866,            0.037242,            0.038385,             0.02111,           0.0084102,           0.0084102
                  38,            0.047957,            0.039065,            0.010967,             0.40028,             0.62964,             0.41135,             0.16761,            0.043603,            0.039227,            0.041344,            0.019023,           0.0086229,           0.0086229
                  39,            0.048385,            0.039837,             0.01091,             0.47018,             0.60058,             0.48185,             0.21381,            0.041989,            0.036531,            0.036516,            0.016935,           0.0088352,           0.0088352
                  40,            0.047436,            0.039439,            0.010795,             0.40827,             0.45955,             0.35266,              0.1352,            0.046067,            0.042621,            0.044902,            0.014847,            0.009047,            0.009047
                  41,            0.047089,            0.038595,            0.010653,             0.43139,             0.53689,             0.46996,             0.19778,            0.040176,             0.03951,            0.041251,            0.012758,           0.0092583,           0.0092583
                  42,            0.047081,            0.038198,            0.010141,             0.42521,             0.44359,             0.37356,             0.16778,            0.041298,            0.039539,            0.063829,            0.010669,           0.0094692,           0.0094692
