               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13375,            0.040921,            0.028585,                   0,                   0,                   0,                   0,             0.11635,             0.04229,            0.023513,             0.09649,             0.00039,             0.00039
                   1,             0.12227,            0.042601,            0.027059,          0.00059908,            0.010642,          0.00031993,          7.9098e-05,             0.11049,            0.043191,            0.023753,            0.092889,          0.00078922,          0.00078922
                   2,             0.10949,            0.044355,            0.026402,           0.0075693,             0.14294,           0.0058531,           0.0013857,            0.098608,            0.045588,            0.023413,            0.089288,           0.0011876,           0.0011876
                   3,            0.089381,            0.044059,            0.026105,             0.13862,             0.18844,             0.07451,            0.016488,            0.076319,            0.044955,            0.022608,            0.085685,           0.0015853,           0.0015853
                   4,            0.076341,            0.040806,             0.02547,             0.16246,             0.34038,             0.14281,            0.041927,             0.07078,            0.042267,            0.022141,            0.082082,           0.0019821,           0.0019821
                   5,            0.069827,            0.039428,            0.025559,              0.2068,             0.39793,             0.18818,            0.058409,            0.063188,            0.041733,            0.021984,            0.078478,           0.0023782,           0.0023782
                   6,             0.06841,            0.037576,            0.025415,             0.24903,             0.33942,             0.22661,            0.071989,            0.063577,            0.041801,            0.022214,            0.074873,           0.0027734,           0.0027734
                   7,            0.066303,            0.036658,            0.025397,              0.2417,             0.41743,             0.21462,            0.065044,            0.063058,            0.039568,            0.021931,            0.071268,           0.0031679,           0.0031679
                   8,            0.065116,            0.035916,             0.02507,             0.28068,             0.38818,             0.20066,            0.047213,            0.064763,            0.038268,            0.021717,            0.067662,           0.0035616,           0.0035616
                   9,            0.064011,            0.035458,            0.025093,             0.34854,             0.51032,             0.32613,             0.10258,            0.059322,            0.039456,            0.021531,            0.064054,           0.0039544,           0.0039544
                  10,            0.062161,            0.034565,             0.02473,             0.39732,             0.56994,             0.40105,             0.10981,            0.053868,            0.038833,            0.021155,            0.060447,           0.0043465,           0.0043465
                  11,            0.061459,            0.033808,            0.024645,             0.42171,              0.5903,             0.43313,             0.14655,            0.053669,            0.038864,            0.021535,            0.056838,           0.0047378,           0.0047378
                  12,             0.06125,            0.033772,            0.023654,             0.46022,             0.53872,             0.46777,             0.16155,            0.053308,            0.038941,            0.020307,            0.053228,           0.0051283,           0.0051283
                  13,            0.060134,            0.034195,            0.023137,             0.51446,              0.5313,             0.51638,             0.19223,            0.049484,            0.038157,            0.020076,            0.049618,           0.0055181,           0.0055181
                  14,            0.060597,            0.033067,            0.021634,             0.58444,             0.49931,              0.5251,              0.1973,            0.051449,            0.038287,            0.019749,            0.046007,            0.005907,            0.005907
                  15,              0.0594,            0.033163,            0.021221,             0.58546,             0.52653,             0.51581,             0.17958,            0.052173,            0.038614,            0.019016,            0.042395,           0.0062951,           0.0062951
                  16,            0.059689,            0.033121,            0.019768,             0.58271,             0.59037,              0.5746,             0.21383,            0.049736,            0.038047,            0.021327,            0.038782,           0.0066824,           0.0066824
                  17,             0.05912,            0.033304,            0.019405,             0.61128,             0.54355,             0.57268,             0.21333,            0.051773,            0.039822,            0.019909,            0.035169,            0.007069,            0.007069
                  18,            0.058366,            0.032763,            0.018838,             0.63288,             0.52106,             0.56033,              0.2017,             0.05257,            0.038997,            0.020346,            0.031555,           0.0074547,           0.0074547
                  19,            0.058504,            0.033386,            0.017927,             0.58418,             0.59577,             0.59724,             0.20377,            0.051741,            0.039157,            0.021009,             0.02794,           0.0078397,           0.0078397
                  20,            0.058113,            0.032813,            0.017119,             0.68374,             0.57322,             0.60681,             0.21697,            0.052648,            0.039382,             0.02181,            0.024324,           0.0082239,           0.0082239
                  21,            0.056526,            0.033467,            0.016881,             0.65099,             0.55425,             0.62617,             0.24565,            0.053871,            0.039745,            0.022594,            0.020707,           0.0086073,           0.0086073
                  22,            0.056989,            0.031598,            0.016777,             0.64913,             0.49725,             0.55652,             0.17321,            0.054164,            0.038533,            0.019295,             0.01709,           0.0089898,           0.0089898
                  23,            0.055649,            0.033289,             0.01609,             0.62695,             0.54971,             0.58356,             0.22509,            0.050082,            0.040172,            0.018378,            0.013472,           0.0093716,           0.0093716
                  24,            0.056288,            0.031645,            0.014708,             0.61255,             0.62502,             0.59104,             0.22603,            0.050451,            0.037993,            0.018472,           0.0098526,           0.0097526,           0.0097526
                  25,             0.05527,            0.032462,            0.015379,             0.57088,             0.63311,             0.59342,             0.22959,            0.051333,            0.039902,            0.019394,           0.0097525,           0.0097525,           0.0097525
                  26,            0.054997,            0.031353,            0.015168,             0.68641,             0.59009,             0.66531,             0.27324,            0.050949,             0.03878,            0.017449,           0.0097525,           0.0097525,           0.0097525
                  27,            0.054386,            0.031692,            0.015238,             0.58911,             0.58588,             0.58883,             0.21504,            0.052345,            0.039667,            0.020349,           0.0097426,           0.0097426,           0.0097426
                  28,             0.05416,            0.031497,            0.013179,              0.5804,              0.6961,               0.621,             0.22728,            0.054807,            0.038408,            0.027478,           0.0097327,           0.0097327,           0.0097327
