unix_ms,latitude,longitude,altitude_m,speed_mps,steeringAngleDegree
1.7636E+12,35.19317801,-97.43858256,327.1347199,3.725581169,-0.300000012
1.7636E+12,35.19317762,-97.43858448,327.1420854,3.783392668,-0.300000012
1.7636E+12,35.19317727,-97.4385862,327.1488503,3.825903893,-0.100000001
1.7636E+12,35.19317686,-97.43858823,327.157984,3.890577078,1
1.7636E+12,35.19317644,-97.43859027,327.1637102,3.932676554,2
1.7636E+12,35.19317607,-97.43859207,327.1683665,3.968770027,2.5
1.7636E+12,35.19317555,-97.43859471,327.1765149,4.020877838,2.599999905
1.7636E+12,35.19317526,-97.43859616,327.1821258,4.040102482,2.5
1.7636E+12,35.19317482,-97.43859833,327.1884248,4.067232609,2.5
1.7636E+12,35.19317447,-97.43860001,327.1928657,4.08557272,2.5
1.7636E+12,35.19317403,-97.43860219,327.1943372,4.105099201,2.200000048
1.7636E+12,35.1931736,-97.43860431,327.1970056,4.123387814,2.099999905
1.7636E+12,35.19317326,-97.43860598,327.1996934,4.13478756,2.099999905
1.7636E+12,35.19317281,-97.43860818,327.2015875,4.145656109,2.099999905
1.7636E+12,35.19317236,-97.43861035,327.2027552,4.173963547,2.099999905
1.7636E+12,35.19317192,-97.43861251,327.2064802,4.208190441,2.099999905
1.7636E+12,35.19317152,-97.43861443,327.2055984,4.227883816,2.299999952
1.7636E+12,35.19317107,-97.43861669,327.2046413,4.243768215,2.799999952
1.7636E+12,35.1931706,-97.438619,327.206476,4.256980896,3.799999952
1.7636E+12,35.19317022,-97.43862082,327.2055873,4.258825302,4.900000095
1.7636E+12,35.19317089,-97.43862697,327.0568262,4.269258976,6
1.7636E+12,35.19317046,-97.43862937,327.0573583,4.283148766,7.300000191
1.7636E+12,35.19317011,-97.43863134,327.0577202,4.293019772,8.199999809
1.7636E+12,35.19316968,-97.43863376,327.0583158,4.299254417,9.100000381
1.7636E+12,35.19316933,-97.43863567,327.0586466,4.300853252,10
1.7636E+12,35.19316889,-97.43863813,327.0585989,4.297119141,10.69999981
1.7636E+12,35.19316848,-97.43864047,327.0606535,4.288446903,12
1.7636E+12,35.19316814,-97.43864234,327.0609321,4.276385784,12.80000019
1.7636E+12,35.19316768,-97.43864485,327.0626705,4.264586926,13.89999962
1.7636E+12,35.19316725,-97.43864718,327.0643666,4.269422531,15
1.7636E+12,35.19316688,-97.43864912,327.065632,4.277587891,15.80000019
1.7636E+12,35.19316641,-97.43865149,327.0654993,4.287444592,17
1.7636E+12,35.19316597,-97.43865375,327.0661004,4.292264938,19
1.7636E+12,35.19316552,-97.43865609,327.0658573,4.290539265,21.70000076
1.7636E+12,35.19316514,-97.43865807,327.0656744,4.288825035,24.5
1.7636E+12,35.19316471,-97.4386602,327.0675445,4.281023026,29.20000076
1.7636E+12,35.19316423,-97.43866245,327.0670055,4.281581879,33.59999847
1.7636E+12,35.19316378,-97.43866464,327.0681653,4.268493652,37.90000153
1.7636E+12,35.19316329,-97.43866698,327.0690025,4.253232956,42.5
1.7636E+12,35.19316282,-97.43866915,327.0690766,4.236701965,47.29999924
1.7636E+12,35.193162,-97.43867196,326.8703487,4.21557188,50.59999847
1.7636E+12,35.1931615,-97.43867414,326.8691625,4.183783531,56.59999847
1.7636E+12,35.19316096,-97.43867643,326.8679962,4.168795586,59.29999924
1.7636E+12,35.1931604,-97.43867874,326.866717,4.144507408,64.40000153
1.7636E+12,35.1931599,-97.4386807,326.8656251,4.122178555,70.69999695
1.7636E+12,35.19315933,-97.43868294,326.8648147,4.107861042,77.5
1.7636E+12,35.19315874,-97.43868515,326.8633301,4.088938236,84.19999695
1.7636E+12,35.19315813,-97.43868736,326.8622968,4.074268818,90.5
1.7636E+12,35.1931576,-97.43868923,326.8612219,4.065890789,95.30000305
1.7636E+12,35.19315692,-97.43869144,326.8609109,4.053747177,102.8000031
1.7636E+12,35.19315622,-97.43869365,326.8597188,4.043349743,110.9000015
1.7636E+12,35.19315562,-97.43869548,326.8591916,4.034472942,116.4000015
1.7636E+12,35.19315489,-97.43869761,326.8587612,4.020688057,123
1.7636E+12,35.19315412,-97.43869978,326.8581754,4.006742001,128.6999969
1.7636E+12,35.19315333,-97.43870192,326.8576278,3.988991261,134
1.7636E+12,35.19315265,-97.43870369,326.8573661,3.973156452,138.1000061
1.7636E+12,35.19315178,-97.43870584,326.857075,3.944942713,145.1999969
1.7636E+12,35.19315089,-97.43870799,326.856292,3.911672592,153.8000031
1.7636E+12,35.19315015,-97.43870971,326.855882,3.901565313,157.6000061
1.7636E+12,35.19314925,-97.43871173,326.8564426,3.889330626,162.5
1.7636E+12,35.19314695,-97.43871383,326.7412532,3.874625683,168.6000061
1.7636E+12,35.19314606,-97.43871561,326.7425231,3.859167337,172.6999969
1.7636E+12,35.19314506,-97.43871754,326.7443651,3.854732037,176.1999969
1.7636E+12,35.19314405,-97.4387194,326.7467642,3.849534512,179.6999969
1.7636E+12,35.19314316,-97.43872096,326.7496811,3.850586414,181.6999969
1.7636E+12,35.19314205,-97.43872283,326.7540615,3.850607634,183.6000061
1.7636E+12,35.19314093,-97.43872466,326.7581976,3.845573187,184.6999969
1.7636E+12,35.19314,-97.43872615,326.7612658,3.832103014,185.1000061
1.7636E+12,35.19313887,-97.43872788,326.7658415,3.824722052,185.1000061
1.7636E+12,35.1931378,-97.43872946,326.7706902,3.821466208,184.8999939
1.7636E+12,35.19313666,-97.43873113,326.775384,3.819812059,184.8000031
1.7636E+12,35.1931355,-97.43873279,326.7797778,3.810677528,184.6000061
1.7636E+12,35.1931343,-97.43873443,326.7850765,3.811037779,184.6000061
1.7636E+12,35.19313326,-97.43873582,326.7888881,3.810962677,184.6000061
1.7636E+12,35.193132,-97.43873746,326.793381,3.808617353,184.5
1.7636E+12,35.19313074,-97.43873908,326.7977041,3.803277016,184.5
1.7636E+12,35.19312963,-97.43874046,326.8016314,3.800570726,184.6000061
1.7636E+12,35.19312832,-97.43874202,326.8075933,3.796898603,184.8000031
1.7636E+12,35.19312699,-97.43874357,326.8144642,3.788005829,186.3000031
1.7636E+12,35.19312587,-97.43874478,326.8209608,3.78683567,188.8000031
1.7636E+12,35.19312373,-97.43874682,326.7055649,3.791829109,193.6000061
1.7636E+12,35.19312242,-97.43874817,326.7136899,3.795174122,199.3999939
1.7636E+12,35.19312104,-97.43874953,326.7222948,3.79853344,204.8999939
1.7636E+12,35.19311994,-97.43875059,326.7291307,3.799764633,209.8000031
1.7636E+12,35.19311852,-97.43875189,326.737272,3.808609009,215.3999939
1.7636E+12,35.19311709,-97.43875316,326.7448757,3.814296246,221.1999969
1.7636E+12,35.19311565,-97.43875437,326.7525838,3.818477154,226.8000031
1.7636E+12,35.1931144,-97.43875538,326.7586193,3.822820425,231.5
1.7636E+12,35.19311297,-97.43875648,326.7656296,3.824754715,238.1000061
1.7636E+12,35.19311147,-97.43875757,326.7728703,3.827800512,242.8000031
1.7636E+12,35.19310988,-97.43875866,326.77984,3.824839354,247.6000061
1.7636E+12,35.19310835,-97.43875963,326.7867814,3.821453333,251.1000061
1.7636E+12,35.19310675,-97.43876058,326.7947229,3.816009998,253.8999939
1.7636E+12,35.19310538,-97.43876134,326.8016543,3.817244053,255.1999969
1.7636E+12,35.19310377,-97.43876218,326.8105845,3.81047225,255.6999969
1.7636E+12,35.19310213,-97.43876298,326.8194072,3.801365137,255.6999969
1.7636E+12,35.19310072,-97.43876363,326.8270688,3.791574717,255.6999969
1.7636E+12,35.19309911,-97.43876431,326.8366603,3.781697989,255.6999969
1.7636E+12,35.19309748,-97.43876496,326.8468006,3.774202585,255.6999969
1.7636E+12,35.19309546,-97.43876676,326.8018329,3.761048079,256.1000061
1.7636E+12,35.1930946,-97.43876707,326.8068416,3.752069712,256.3999939
1.7636E+12,35.1930929,-97.43876763,326.8164771,3.722990513,257.7999878
1.7636E+12,35.19309159,-97.43876803,326.8241096,3.700495958,258.5
1.7636E+12,35.19308989,-97.43876851,326.8329414,3.673618555,258.8999939
1.7636E+12,35.19308857,-97.43876886,326.8398847,3.647628069,258.8999939
1.7636E+12,35.19308698,-97.43876921,326.8491746,3.627671957,258.8999939
1.7636E+12,35.19308544,-97.43876949,326.8579317,3.607675552,258.8999939
1.7636E+12,35.19308389,-97.43876972,326.8678483,3.582597494,258.8999939
1.7636E+12,35.19308259,-97.43876988,326.8763874,3.566975594,258.8999939
1.7636E+12,35.19308106,-97.43877003,326.8871619,3.55032897,258.8999939
1.7636E+12,35.19307955,-97.43877013,326.8979174,3.536632776,258.8999939
1.7636E+12,35.19307807,-97.43877019,326.9083821,3.524382591,258.8999939
1.7636E+12,35.19307669,-97.43877022,326.9177735,3.51191473,258.8999939
1.7636E+12,35.19307519,-97.4387702,326.9278072,3.500873327,258.8999939
1.7636E+12,35.19307372,-97.43877015,326.9374422,3.4949615,258.8999939
1.7636E+12,35.19307249,-97.43877007,326.9451792,3.490290642,258.8999939
1.7636E+12,35.19307104,-97.43876997,326.9546925,3.487617016,258.8999939
1.7636E+12,35.19306962,-97.43876985,326.9636613,3.481091022,258.8999939
1.7636E+12,35.19306846,-97.43877064,326.9475965,3.485878706,258.8999939
1.7636E+12,35.19306763,-97.43877053,326.9524157,3.488938808,259
1.7636E+12,35.1930662,-97.43877031,326.9615841,3.500234127,259.5
1.7636E+12,35.19306481,-97.43877005,326.9714084,3.518523455,260.1000061
1.7636E+12,35.19306339,-97.43876973,326.981817,3.532709122,261.1000061
1.7636E+12,35.19306197,-97.43876937,326.9918144,3.549700975,262
1.7636E+12,35.19306058,-97.43876897,327.0013082,3.577615976,262.7000122
1.7636E+12,35.19305937,-97.4387686,327.0092553,3.600185871,262.8999939
1.7636E+12,35.19305798,-97.43876814,327.0180911,3.636386395,263.5
1.7636E+12,35.1930566,-97.43876763,327.0273448,3.664356947,264.7999878
1.7636E+12,35.19305529,-97.43876711,327.0357616,3.686350822,266.6000061
1.7636E+12,35.19305394,-97.43876652,327.0446909,3.712851048,268.2000122
1.7636E+12,35.19305257,-97.43876589,327.0535062,3.743978262,269
1.7636E+12,35.19305141,-97.43876535,327.060655,3.767981052,269
1.7636E+12,35.19305004,-97.43876468,327.0697909,3.79104495,269
1.7636E+12,35.19304868,-97.43876397,327.0800662,3.815750599,269
1.7636E+12,35.19304765,-97.43876341,327.0878382,3.837220192,268.7999878
1.7636E+12,35.19304627,-97.4387626,327.0988245,3.861907482,268.2000122
1.7636E+12,35.19304503,-97.43876182,327.1088607,3.890210152,267.1000061
1.7636E+12,35.19304372,-97.43876091,327.119101,3.916430473,266.1000061
1.7636E+12,35.19304238,-97.43875997,327.1297581,3.94638586,265.5
1.7636E+12,35.19303836,-97.43875752,327.0554461,3.992009401,265.2999878
1.7636E+12,35.19303791,-97.43875731,327.0593646,3.997060299,265.2999878
1.7636E+12,35.19303654,-97.43875621,327.0681452,4.018459797,265.2999878
1.7636E+12,35.19303522,-97.43875502,327.0771549,4.044518948,265.2999878
1.7636E+12,35.19303411,-97.43875403,327.0847398,4.067368507,265.1000061
1.7636E+12,35.19303288,-97.4387528,327.0941593,4.083304882,264.6000061
1.7636E+12,35.19303165,-97.43875149,327.1038809,4.096152782,263.7999878
1.7636E+12,35.19303073,-97.4387505,327.1114441,4.102505684,263.2999878
1.7636E+12,35.19302949,-97.43874911,327.1216436,4.110468864,263
1.7636E+12,35.1930284,-97.43874778,327.131493,4.123374939,263
1.7636E+12,35.19302726,-97.43874639,327.1423901,4.132484913,263
1.7636E+12,35.19302622,-97.43874509,327.152612,4.143351555,263
1.7636E+12,35.19302515,-97.43874366,327.1632355,4.150064945,263
1.7636E+12,35.1930241,-97.43874219,327.1739447,4.153066158,262.8999939
1.7636E+12,35.19302319,-97.43874091,327.1835437,4.163552761,262.6000061
1.7636E+12,35.19302223,-97.43873939,327.1944271,4.175336838,261.7999878
1.7636E+12,35.19302129,-97.4387378,327.205872,4.178394794,260.2000122
1.7636E+12,35.19302039,-97.43873624,327.2166014,4.188026905,257.7999878
1.7636E+12,35.19301765,-97.43873225,327.1309491,4.199776173,252.3999939
1.7636E+12,35.19301718,-97.43873162,327.135516,4.205755234,250.8000031
1.7636E+12,35.19301634,-97.4387299,327.1466732,4.219996452,246.6000061
1.7636E+12,35.19301562,-97.43872835,327.1573447,4.236346722,242.6999969
1.7636E+12,35.19301482,-97.43872658,327.1697404,4.25543642,239.8000031
1.7636E+12,35.19301409,-97.43872511,327.1809217,4.267159462,239
1.7636E+12,35.19301325,-97.43872333,327.1940135,4.297348499,239
1.7636E+12,35.19301239,-97.43872167,327.2075808,4.320374966,239.3000031
1.7636E+12,35.19301145,-97.43871989,327.2222216,4.346196651,239.5
1.7636E+12,35.19301052,-97.43871812,327.2360446,4.359647751,239.6000061
1.7636E+12,35.19300963,-97.43871626,327.2497876,4.365497589,239.6000061
1.7636E+12,35.19300894,-97.43871489,327.2605597,4.377760887,239.6000061
1.7636E+12,35.19300819,-97.4387129,327.2748595,4.390403748,239.3000031
1.7636E+12,35.19300749,-97.43871094,327.2892354,4.402532101,238.1000061
1.7636E+12,35.19300678,-97.43870901,327.3029585,4.407387733,236.6000061
1.7636E+12,35.19300626,-97.43870735,327.3148513,4.407950878,234.6999969
1.7636E+12,35.19300578,-97.43870531,327.328443,4.417312622,230.8000031
1.7636E+12,35.19300535,-97.43870313,327.3430156,4.432665825,224.3999939
1.7636E+12,35.19300497,-97.43870152,327.3534753,4.447638512,217.5
1.7636E+12,35.19300463,-97.43869953,327.3659249,4.467032433,203.6999969
1.7636E+12,35.19300264,-97.43869338,327.3171836,4.478844643,180.6000061
1.7636E+12,35.19300234,-97.43869219,327.3254823,4.482167721,174.3999939
1.7636E+12,35.19300195,-97.43869049,327.3369943,4.487493038,160.5
1.7636E+12,35.19300159,-97.43868839,327.3503902,4.499289513,148.8999939
1.7636E+12,35.19300125,-97.43868631,327.364095,4.514623642,138
1.7636E+12,35.19300088,-97.43868419,327.377438,4.534784794,125.4000015
1.7636E+12,35.19300058,-97.43868242,327.389263,4.552217007,117.5999985
1.7636E+12,35.19300025,-97.43868028,327.4033948,4.573582172,109.3000031
1.7636E+12,35.19299987,-97.43867816,327.4169616,4.596891403,99.69999695
1.7636E+12,35.19299946,-97.4386763,327.4283342,4.607029915,93.90000153
1.7636E+12,35.19299904,-97.43867413,327.4410203,4.621537685,87.19999695
1.7636E+12,35.19299856,-97.43867194,327.4533121,4.641507626,81.30000305
1.7636E+12,35.19299805,-97.43866976,327.4672436,4.659379005,78.19999695
1.7636E+12,35.19299751,-97.43866784,327.4791386,4.672065735,77.30000305
1.7636E+12,35.19299703,-97.43866566,327.4929165,4.692544937,77.19999695
1.7636E+12,35.1929966,-97.43866358,327.505956,4.710718632,76.69999695
1.7636E+12,35.19299617,-97.43866126,327.5202137,4.730038166,74.09999847
1.7636E+12,35.19299571,-97.43865925,327.5331689,4.754977703,67.69999695
1.7636E+12,35.19299541,-97.43865702,327.5469384,4.776434422,58.90000153
1.7636E+12,35.19299517,-97.43865484,327.5604176,4.812773228,47.40000153
1.7636E+12,35.19299128,-97.43863334,327.3904751,4.848397732,34.29999924
1.7636E+12,35.19299112,-97.43863254,327.3960619,4.857018471,30.5
1.7636E+12,35.19299086,-97.43863002,327.4087407,4.872113705,20.89999962
1.7636E+12,35.1929906,-97.43862758,327.4192574,4.895861149,11.19999981
1.7636E+12,35.19299032,-97.43862508,327.4306318,4.917203903,1.600000024
1.7636E+12,35.19299007,-97.43862293,327.4420418,4.950460911,-7.599999905
1.7636E+12,35.19298977,-97.43862014,327.4544674,4.978577137,-18.5
1.7636E+12,35.1929895,-97.43861814,327.4636231,5.000067234,-26.39999962
1.7636E+12,35.19298921,-97.43861566,327.4739077,5.037201405,-36
1.7636E+12,35.19298893,-97.43861343,327.4846744,5.065293789,-45.09999847
1.7636E+12,35.19298858,-97.43861094,327.4966944,5.090269089,-53.20000076
1.7636E+12,35.19298828,-97.43860884,327.5076007,5.113379478,-61.59999847
1.7636E+12,35.19298787,-97.43860635,327.5194106,5.135558128,-66.30000305
1.7636E+12,35.19298744,-97.43860386,327.5303959,5.171987534,-71.30000305
1.7636E+12,35.19298706,-97.43860183,327.5394209,5.193806648,-72.19999695
1.7636E+12,35.19298659,-97.43859948,327.5501809,5.220640659,-71.5
1.7636E+12,35.19298608,-97.43859703,327.5622951,5.253990173,-68.90000153
1.7636E+12,35.19298562,-97.43859496,327.5730793,5.279564381,-63.90000153
1.7636E+12,35.19298507,-97.43859252,327.5856321,5.290188789,-57.20000076
1.7636E+12,35.19298449,-97.43859011,327.5984818,5.303805351,-49.70000076
